Código da Etapa;Etapa;Código da Rede;Rede;Código da CREDE;CREDE;Código do Município;Município;Edição;Proficiência Média;Desvio Padrão;Indicação do Padrão de Desempenho;Muito Crítico;Crítico;Intermediário;Adequado;População;Alunos Efetivos;Alunos Efetivos (Ponderado)¹;Percentual de Participação (Ponderado)¹;Taxa de Participação;Proficiência Padronizada;Fator de Ajuste;Número de Alunos no Muito Crítico;Número de Alunos no Crítico;Número de Alunos no Intermediário;Número de Alunos no Adequado;IDE EF MT;IDE Médio EF
9;9º Ano do Ensino Fundamental;1;ESTADUAL;1;MARACANAU;2303709;CAUCAIA;2012;230,9637271;42,31758589;Crítico;46,73366834;40,20100503;10,05025126;3,015075377;273;199;-;72,89377289;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;1;MARACANAU;2307650;MARACANAU;2012;241,0663759;40,3991509;Crítico;35,80246914;40,12345679;22,83950617;1,234567901;190;162;-;85,26315789;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;1;MARACANAU;2307700;MARANGUAPE;2012;241,7052563;40,67961267;Crítico;35,76388889;44,44444444;16,66666667;3,125;318;288;-;90,56603774;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;2;ITAPIPOCA;2306306;ITAPAJE;2012;261,597386;45,02247851;Crítico;21,07623318;42,15246637;26,9058296;9,865470852;230;223;-;96,95652174;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;2;ITAPIPOCA;2306405;ITAPIPOCA;2012;242,9121362;44,85997548;Crítico;35,45454545;39,09090909;21,81818182;3,636363636;357;330;-;92,43697479;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;2;ITAPIPOCA;2312403;SAO GONCALO DO AMARANTE;2012;226,1750522;39,66716682;Crítico;50,6097561;37,19512195;10,97560976;1,219512195;176;164;-;93,18181818;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;2;ITAPIPOCA;2313807;URUBURETAMA;2012;210,8123814;39,60090052;Muito Crítico;71,79487179;20,51282051;5,128205128;2,564102564;43;39;-;90,69767442;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;3;ACARAU;2300200;ACARAU;2012;259,6333763;38,92816986;Crítico;19,48051948;45,45454545;29,87012987;5,194805195;82;77;-;93,90243902;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;4;CAMOCIM;2304707;GRANJA;2012;232,8831856;42,30300397;Crítico;44,59459459;36,48648649;17,56756757;1,351351351;79;74;-;93,67088608;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;5;TIANGUA;2305001;GUARACIABA DO NORTE;2012;257,5044074;45,99977114;Crítico;26,82926829;46,34146341;19,51219512;7,317073171;42;41;-;97,61904762;-;-;-;-;-;-;-;-;-
