REDE DE ENSINO,MUNICIPIO,SERIE_ANO,PERIODO,COMPONENTE_CURRICULAR,MEDIA_PROFICIENCIA
Rede Estadual,SAO PAULO,9º Ano EF,GERAL,MATEMÁTICA,242.0
Rede Estadual,ADAMANTINA,9º Ano EF,MANHÃ,MATEMÁTICA,255.8
Rede Estadual,ADAMANTINA,9º Ano EF,GERAL,MATEMÁTICA,255.8
Rede Estadual,AGUAI,9º Ano EF,MANHÃ,MATEMÁTICA,241.4
Rede Estadual,AGUAI,9º Ano EF,TARDE,MATEMÁTICA,249.6
Rede Estadual,AGUAI,9º Ano EF,GERAL,MATEMÁTICA,243.2
Rede Estadual,AGUAS DE LINDOIA,9º Ano EF,MANHÃ,MATEMÁTICA,268.4
Rede Estadual,AGUAS DE LINDOIA,9º Ano EF,GERAL,MATEMÁTICA,268.4
Rede Estadual,AGUAS DA PRATA,9º Ano EF,MANHÃ,MATEMÁTICA,243.9
Rede Estadual,AGUAS DA PRATA,9º Ano EF,TARDE,MATEMÁTICA,257.2
Rede Estadual,AGUAS DA PRATA,9º Ano EF,GERAL,MATEMÁTICA,249.2
Rede Estadual,AGUDOS,9º Ano EF,MANHÃ,MATEMÁTICA,237.8
Rede Estadual,AGUDOS,9º Ano EF,TARDE,MATEMÁTICA,234.2
Rede Estadual,AGUDOS,9º Ano EF,GERAL,MATEMÁTICA,236.7
Rede Estadual,ALFREDO MARCONDES,9º Ano EF,MANHÃ,MATEMÁTICA,244.1
Rede Estadual,ALFREDO MARCONDES,9º Ano EF,GERAL,MATEMÁTICA,244.1
Rede Estadual,ALTAIR,9º Ano EF,MANHÃ,MATEMÁTICA,256.7
Rede Estadual,ALTAIR,9º Ano EF,GERAL,MATEMÁTICA,256.7
Rede Estadual,ALTINOPOLIS,9º Ano EF,MANHÃ,MATEMÁTICA,240.5
Rede Estadual,ALTINOPOLIS,9º Ano EF,GERAL,MATEMÁTICA,240.5
Rede Estadual,ALTO ALEGRE,9º Ano EF,MANHÃ,MATEMÁTICA,262.4
Rede Estadual,ALTO ALEGRE,9º Ano EF,GERAL,MATEMÁTICA,262.4
Rede Estadual,ALVARES FLORENCE,9º Ano EF,MANHÃ,MATEMÁTICA,268.0
Rede Estadual,ALVARES FLORENCE,9º Ano EF,GERAL,MATEMÁTICA,268.0
Rede Estadual,ALVARO DE CARVALHO,9º Ano EF,MANHÃ,MATEMÁTICA,229.3
Rede Estadual,ALVARO DE CARVALHO,9º Ano EF,GERAL,MATEMÁTICA,229.3
Rede Estadual,ALVINLANDIA,9º Ano EF,MANHÃ,MATEMÁTICA,256.3
Rede Estadual,ALVINLANDIA,9º Ano EF,TARDE,MATEMÁTICA,250.0
Rede Estadual,ALVINLANDIA,9º Ano EF,GERAL,MATEMÁTICA,253.3
Rede Estadual,AMERICANA,9º Ano EF,MANHÃ,MATEMÁTICA,256.3
Rede Estadual,AMERICANA,9º Ano EF,TARDE,MATEMÁTICA,254.7
Rede Estadual,AMERICANA,9º Ano EF,GERAL,MATEMÁTICA,256.1
Rede Estadual,AMERICO BRASILIENSE,9º Ano EF,MANHÃ,MATEMÁTICA,237.0
Rede Estadual,AMERICO BRASILIENSE,9º Ano EF,TARDE,MATEMÁTICA,231.7
Rede Estadual,AMERICO BRASILIENSE,9º Ano EF,GERAL,MATEMÁTICA,233.8
Rede Estadual,AMERICO DE CAMPOS,9º Ano EF,MANHÃ,MATEMÁTICA,249.4
Rede Estadual,AMERICO DE CAMPOS,9º Ano EF,GERAL,MATEMÁTICA,249.4
Rede Estadual,AMPARO,9º Ano EF,MANHÃ,MATEMÁTICA,251.5
Rede Estadual,AMPARO,9º Ano EF,TARDE,MATEMÁTICA,245.2
Rede Estadual,AMPARO,9º Ano EF,GERAL,MATEMÁTICA,251.1
Rede Estadual,ANDRADINA,9º Ano EF,MANHÃ,MATEMÁTICA,247.3
Rede Estadual,ANDRADINA,9º Ano EF,TARDE,MATEMÁTICA,226.2
Rede Estadual,ANDRADINA,9º Ano EF,GERAL,MATEMÁTICA,244.6
Rede Estadual,ANGATUBA,9º Ano EF,MANHÃ,MATEMÁTICA,257.1
Rede Estadual,ANGATUBA,9º Ano EF,GERAL,MATEMÁTICA,257.1
Rede Estadual,ANHUMAS,9º Ano EF,MANHÃ,MATEMÁTICA,237.3
Rede Estadual,ANHUMAS,9º Ano EF,GERAL,MATEMÁTICA,237.3
Rede Estadual,APARECIDA D'OESTE,9º Ano EF,MANHÃ,MATEMÁTICA,263.1
Rede Estadual,APARECIDA D'OESTE,9º Ano EF,GERAL,MATEMÁTICA,263.1
Rede Estadual,APIAI,9º Ano EF,MANHÃ,MATEMÁTICA,249.9
Rede Estadual,APIAI,9º Ano EF,GERAL,MATEMÁTICA,249.9
Rede Estadual,ARACATUBA,9º Ano EF,MANHÃ,MATEMÁTICA,256.3
Rede Estadual,ARACATUBA,9º Ano EF,TARDE,MATEMÁTICA,234.7
Rede Estadual,ARACATUBA,9º Ano EF,GERAL,MATEMÁTICA,255.8
Rede Estadual,ARAMINA,9º Ano EF,MANHÃ,MATEMÁTICA,235.1
Rede Estadual,ARAMINA,9º Ano EF,TARDE,MATEMÁTICA,260.6
Rede Estadual,ARAMINA,9º Ano EF,GERAL,MATEMÁTICA,248.5
Rede Estadual,ARANDU,9º Ano EF,MANHÃ,MATEMÁTICA,239.5
Rede Estadual,ARANDU,9º Ano EF,GERAL,MATEMÁTICA,239.5
Rede Estadual,ARARAQUARA,9º Ano EF,MANHÃ,MATEMÁTICA,247.5
Rede Estadual,ARARAQUARA,9º Ano EF,TARDE,MATEMÁTICA,257.2
Rede Estadual,ARARAQUARA,9º Ano EF,GERAL,MATEMÁTICA,249.5
Rede Estadual,ARARAS,9º Ano EF,MANHÃ,MATEMÁTICA,260.2
Rede Estadual,ARARAS,9º Ano EF,TARDE,MATEMÁTICA,244.1
Rede Estadual,ARARAS,9º Ano EF,GERAL,MATEMÁTICA,256.3
Rede Estadual,AREALVA,9º Ano EF,MANHÃ,MATEMÁTICA,248.8
Rede Estadual,AREALVA,9º Ano EF,TARDE,MATEMÁTICA,221.5
Rede Estadual,AREALVA,9º Ano EF,GERAL,MATEMÁTICA,241.3
Rede Estadual,ARIRANHA,9º Ano EF,MANHÃ,MATEMÁTICA,263.2
Rede Estadual,ARIRANHA,9º Ano EF,GERAL,MATEMÁTICA,263.2
Rede Estadual,ARTUR NOGUEIRA,9º Ano EF,MANHÃ,MATEMÁTICA,249.5
Rede Estadual,ARTUR NOGUEIRA,9º Ano EF,GERAL,MATEMÁTICA,249.5
Rede Estadual,ARUJA,9º Ano EF,MANHÃ,MATEMÁTICA,244.4
Rede Estadual,ARUJA,9º Ano EF,TARDE,MATEMÁTICA,244.5
Rede Estadual,ARUJA,9º Ano EF,GERAL,MATEMÁTICA,244.4
Rede Estadual,ASSIS,9º Ano EF,MANHÃ,MATEMÁTICA,252.7
Rede Estadual,ASSIS,9º Ano EF,TARDE,MATEMÁTICA,246.6
Rede Estadual,ASSIS,9º Ano EF,GERAL,MATEMÁTICA,252.2
Rede Estadual,ATIBAIA,9º Ano EF,MANHÃ,MATEMÁTICA,249.9
Rede Estadual,ATIBAIA,9º Ano EF,TARDE,MATEMÁTICA,243.5
Rede Estadual,ATIBAIA,9º Ano EF,GERAL,MATEMÁTICA,248.1
Rede Estadual,AURIFLAMA,9º Ano EF,MANHÃ,MATEMÁTICA,269.1
Rede Estadual,AURIFLAMA,9º Ano EF,TARDE,MATEMÁTICA,246.0
Rede Estadual,AURIFLAMA,9º Ano EF,GERAL,MATEMÁTICA,263.7
Rede Estadual,AVAI,9º Ano EF,MANHÃ,MATEMÁTICA,240.7
Rede Estadual,AVAI,9º Ano EF,GERAL,MATEMÁTICA,240.7
Rede Estadual,AVANHANDAVA,9º Ano EF,MANHÃ,MATEMÁTICA,227.8
Rede Estadual,AVANHANDAVA,9º Ano EF,GERAL,MATEMÁTICA,227.8
Rede Estadual,AVARE,9º Ano EF,MANHÃ,MATEMÁTICA,243.1
Rede Estadual,AVARE,9º Ano EF,GERAL,MATEMÁTICA,243.1
Rede Estadual,BADY BASSITT,9º Ano EF,TARDE,MATEMÁTICA,262.1
Rede Estadual,BADY BASSITT,9º Ano EF,GERAL,MATEMÁTICA,262.1
Rede Estadual,BALBINOS,9º Ano EF,MANHÃ,MATEMÁTICA,235.4
Rede Estadual,BALBINOS,9º Ano EF,GERAL,MATEMÁTICA,235.4
Rede Estadual,BALSAMO,9º Ano EF,MANHÃ,MATEMÁTICA,256.9
Rede Estadual,BALSAMO,9º Ano EF,TARDE,MATEMÁTICA,243.4
Rede Estadual,BALSAMO,9º Ano EF,GERAL,MATEMÁTICA,250.1
Rede Estadual,BARAO DE ANTONINA,9º Ano EF,MANHÃ,MATEMÁTICA,266.3
Rede Estadual,BARAO DE ANTONINA,9º Ano EF,TARDE,MATEMÁTICA,238.7
Rede Estadual,BARAO DE ANTONINA,9º Ano EF,GERAL,MATEMÁTICA,253.1
Rede Estadual,BARBOSA,9º Ano EF,MANHÃ,MATEMÁTICA,237.9
Rede Estadual,BARBOSA,9º Ano EF,GERAL,MATEMÁTICA,237.9
Rede Estadual,BARIRI,9º Ano EF,MANHÃ,MATEMÁTICA,251.0
Rede Estadual,BARIRI,9º Ano EF,TARDE,MATEMÁTICA,246.3
Rede Estadual,BARIRI,9º Ano EF,GERAL,MATEMÁTICA,247.5
Rede Estadual,BARRA BONITA,9º Ano EF,MANHÃ,MATEMÁTICA,250.0
Rede Estadual,BARRA BONITA,9º Ano EF,GERAL,MATEMÁTICA,250.0
Rede Estadual,BARRA DO TURVO,9º Ano EF,MANHÃ,MATEMÁTICA,249.8
Rede Estadual,BARRA DO TURVO,9º Ano EF,GERAL,MATEMÁTICA,249.8
Rede Estadual,BARRETOS,9º Ano EF,MANHÃ,MATEMÁTICA,258.9
Rede Estadual,BARRETOS,9º Ano EF,TARDE,MATEMÁTICA,235.2
Rede Estadual,BARRETOS,9º Ano EF,GERAL,MATEMÁTICA,256.4
Rede Estadual,BASTOS,9º Ano EF,MANHÃ,MATEMÁTICA,255.2
Rede Estadual,BASTOS,9º Ano EF,GERAL,MATEMÁTICA,255.2
Rede Estadual,BATATAIS,9º Ano EF,MANHÃ,MATEMÁTICA,254.3
Rede Estadual,BATATAIS,9º Ano EF,TARDE,MATEMÁTICA,256.3
Rede Estadual,BATATAIS,9º Ano EF,GERAL,MATEMÁTICA,255.2
Rede Estadual,BAURU,9º Ano EF,MANHÃ,MATEMÁTICA,240.4
Rede Estadual,BAURU,9º Ano EF,TARDE,MATEMÁTICA,239.0
Rede Estadual,BAURU,9º Ano EF,GERAL,MATEMÁTICA,240.3
