"Categoria","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"São Desidério (BA)","2002523.1431627274","2116496.1231610775","1342631.5499258041","2128145.732547164","1457663.586200714","1380662.308932066","2586179.7481996417","1266969.080886364","2054171.158676803","2441203.1949397326","2222034.214509845","2293109.984957099","2401591.8588505983","1556523.193563223","3029735.5724596977","2320973.0012612343","2085501.0079557896","2482991.922483921","3295319.6210769415","2722614.695801735","1632752.4661712646","2930097.2141416073","3931080.6537201405","1891963.3347599506","1282558.8851758242","1218159.2923240662","921276.1244301796","964714.8993934393","1252957.1195101738","2024107.6610826254","3091203.197527945","3159579.701361537","2729422"
"Formosa do Rio Preto (BA)","826874.6839387417","399467.06951129436","539669.6359939575","791620.5794141293","1109452.2961474657","1319670.478779018","1691259.4924111366","1703958.88682276","1971453.925305009","2335255.6971239","2373974.2128496766","3511846.7405724525","2279491.209871173","2550571.0863540173","7739569.940949798","4145822.788343072","4098729.928821206","3381894.4110631943","4303636.24879235","3541346.0774782896","2141722.030722797","2499666.7549449205","5552447.015273452","3487481.6080954075","2810540.0648887157","1893683.5157688558","680971.9797156453","788568.004088521","1208044.176501885","4220327.0016454905","3073766.4334418774","2299737.8741800785","2432263"
"Jaborandi (BA)","598657.6618748903","323017.60684752464","552221.6797757149","576715.3007353544","619167.0656645894","915672.7741503716","341625.1734676361","286708.75329327583","342547.08958876133","494686.35532045364","670603.5575014949","1278879.4652112722","1254600.5888525248","994301.5907979012","3156893.026153326","2452897.6292773485","1459875.0617890358","1061080.8429330587","2637843.3385949135","2062124.1099615097","2008665.9320218116","1899222.1395030022","2588179.0025975704","2526260.1011197567","1280665.929260075","1001395.005585432","638396.0008676648","753948.0245280266","1162686.5475759506","1706967.7386553884","1744004.154955864","2051920.9407287836","1734316"
"Correntina (BA)","1240466.419623375","1300027.825116992","1251180.4475240707","2444919.6338888407","1626111.5290498734","744216.9325960875","883575.504145205","522413.3580085039","822596.2847896814","690254.2885036469","715198.2528851628","1085080.4869333506","1148453.0169742107","1237021.4412409067","5446671.156622291","1878739.364978075","1483964.0309062004","1157842.713006854","2096835.8558076024","2266658.482316911","1656566.2369773388","1452981.3210683465","3321019.5383404493","1683471.5251070857","1255760.0444988608","1275668.6708729267","1072367.1960805655","1202182.2814872265","1245273.7795187235","1545572.943816781","1060525.6563282013","1585476.3940644264","1473135"
"Barreiras (BA)","1104448.7201375961","980911.2256445885","920102.059561491","1228584.7875204086","1639774.3608580828","1522551.0419615507","1179747.7241241932","1104722.9160385728","1254496.7099493742","1394225.6399327517","1170749.673181653","1177414.818649888","1222790.9109984636","884263.000891149","1161053.3469948769","543921.877332449","506030.0398694277","902137.5186319351","1203413.2709226012","782536.5433995724","499205.1032935977","1123564.3357667923","2600460.2462010384","2095302.0451569557","844179.606407404","1058625.256716609","861108.2033904791","866501.5963608027","846568.1879748702","1568927.0175619423","1179766.0970728397","958306.347179532","996163"
"Riachão das Neves (BA)","374538.32950502634","453126.41213035583","698102.4169119596","673068.8756510019","570989.281134665","543730.9089584947","712927.8378293514","587234.3841611147","1133304.6596153975","856719.2331084013","935628.539736867","1558318.7707704306","1040160.6013054848","773750.22631827","1613260.739129901","845480.0810523629","922758.6725201607","925268.2936869264","1177485.683296293","1076762.5285995007","780656.8611235023","846614.6152854264","1754938.8219302893","1256008.3511853218","695486.1106722951","691818.5452409983","422725.56900691986","531034.7967794836","644022.1785574257","580173.0040331781","1085054.2665590644","761963.2862440944","670183"
"Santa Rita de Cássia (BA)","226557.43086791039","222949.40149974823","214851.61089229584","177983.86021625996","214411.12336826324","272621.06667920947","258111.180675745","231723.21199905872","201275.83959841728","230728.36451554298","449094.892529726","333400.00910425186","369179.921641767","353192.82079184055","245359.08017158508","402341.9596964121","300127.0371155143","200949.73888731003","253266.02139934897","287848.25729715824","285505.51465034485","497676.72537475824","898442.2268003821","979073.3391313553","630820.7976686954","512095.1687514782","483038.423923254","564438.2157644033","601876.538213253","694797.0868461728","859509.3606863022","998700.5789114237","569631"
"Jequié (BA)","612703.7400627136","1511820.0780978203","637648.4866840839","652363.1256679296","651880.7359451652","404525.50290620327","324286.16409397125","725784.1977658272","792146.3779652119","495022.68259197474","718438.140712738","1354403.2364959717","555597.6158676147","531667.7904882431","836518.6891100407","676718.107282877","506943.2516813278","285090.5561261177","337951.4685642719","669271.1383142471","307617.6290669441","188328.27139043808","209287.30578279495","130990.5146189928","212349.39665985107","418718.98216581345","509389.49892520905","374980.50066041946","581146.5484075546","249169.2120203972","186265.72844171524","163926.43447589874","498001"
"Encruzilhada (BA)","388333.9269359112","607220.8695440292","249294.95258784294","468322.6375589371","354230.95563459396","349958.9532299042","361482.6356832981","372389.8469724655","310614.8655166626","400637.20900821686","291329.3855910301","392185.7895002365","326316.02042770386","461313.66967225075","421595.7845109701","430613.68213558197","524512.8846788406","751029.6089520454","648220.401881218","640724.361219883","564970.7463271618","395837.7596189976","218758.02479624748","383029.4351334572","559566.9752459526","305331.10769462585","218833.7870812416","272776.43177223206","358424.4916687012","403895.9177992344","451620.45079523325","587315.3614428043","414662"
"Baianópolis (BA)","170025.94110286236","143284.05677711964","178391.55123710632","216336.1231725216","256375.4083442688","360820.75946986675","161733.866604805","209866.73289692402","147231.5592997074","195604.88009154797","269638.4029171467","243720.33322447538","210046.15269589424","241034.64062666893","258803.47989749908","271281.3853831291","206913.8551326394","140250.8914821148","212834.89246797562","201533.68092256784","198100.86053836346","603710.3529692888","676991.5303670168","646247.1818079948","653471.6890354156","439450.78552889824","297636.5435528755","522833.62136530876","720253.2632522583","607436.7982445955","790814.9751247168","1700892.2622466087","413632"
