"Categoria","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"São Francisco do Conde (BA)","24813.9324644804","20747.01547795534","34489.730843901634","54397.65662384033","35526.54742491245","77078.32127177715","104357.86683511734","96004.4061434269","50515.20526456833","68754.38410162926","1851075.1365776062","2292136.644932866","2277458.574255705","2185624.0235505104","2568168.053052664","2852927.5010929108","3124532.5395469666","2989121.621257186","3010357.6380844414","2589599.4235621095","2914487.9865041375","2872020.85317111","3116702.5422017574","4015658.16566658","4155413.266461849","3821280.203875661","3261449.806766361","2969729.9353437424","3006896.328572929","3067129.795607507","3343009.5479329824","2770179.0211744606","3639112.7597358227"
"NA (BA)","8157285.261618614","8946234.323626518","9591323.733444214","9330711.176196814","8963126.267350197","9351270.361180782","10629072.504423141","10791394.698988125","10961311.02972722","11039081.626408666","10345332.111516774","10606684.16359362","10237603.187159121","10677731.694230378","11308593.251118671","11136171.227763057","11173473.235113502","4196759.253953874","5056495.593196452","3865984.1001905203","4060548.652911186","4396760.828083038","4138237.224957943","4204750.776326656","4417572.631173134","3746771.2469067574","3571747.0570869446","3631437.7534193993","3850152.4793194532","4080805.381307259","3344475.0100406706","3663590.89268589","3612969.249212742"
"São Desidério (BA)","2027497.4061062336","2132357.3593767285","1345223.6585842967","2134741.332706332","1468703.5611749887","1385745.6282866","2592768.502270043","1282432.9790053368","2072409.8570552468","2461294.6773815155","2252885.355638385","2316172.090074897","2423092.566705823","1583750.2411096096","3066974.792125225","2341863.193903446","2107362.5080556273","2577842.6315909624","3416415.552082896","2900696.702052146","1772374.3294985592","3112675.8256301284","4062370.4885092974","2053871.137726359","1497447.8760379031","1409994.6917748153","1116096.0203722715","1159696.5428080857","1472617.797197923","2255718.6051508784","3376775.8307609633","3514056.4136802256","3049611.022967994"
"Formosa do Rio Preto (BA)","833404.0511791706","405830.26884806156","540287.553758502","793286.2186463475","1113288.3080105782","1321970.6816735864","1693854.8180923462","1707707.7863948941","1976326.0874466896","2341399.0217411667","2383881.5062227845","3519050.241022587","2286496.1411608458","2559469.8035018444","7750189.880601287","4152364.683601618","4105248.3170385957","3402242.717419505","4354158.980477989","3630826.9229765236","2214840.4654140174","2560969.826115869","5597042.854242966","3567724.5630794466","2933544.873500414","2004030.2983030975","801660.4700559974","939133.0122701526","1373850.9580411315","4381205.7553848475","3294294.273132324","2516955.886286825","2612393.4533893466"
"Jaborandi (BA)","598892.1932493448","323421.0383633375","552320.8595018387","578204.0684344769","621253.0476024747","917002.7918695211","342353.8482605219","288018.149674654","344509.5183235407","497214.9382004738","674074.472176373","1281538.2821201086","1256960.9954410791","997900.3586913347","3161582.9658486843","2456658.1785207987","1464125.8241801262","1069725.2848641872","2649529.4360482693","2079014.3796784878","2025094.2573745996","1922635.380928874","2601660.2642070055","2548656.9912222624","1327501.139203608","1050586.078521032","683328.8624877408","798821.4500391036","1212761.9640682936","1790301.5993706584","1854848.2007875703","2194384.817116976","1876600.6629720926"
"Correntina (BA)","1251447.7023321986","1308261.4921500683","1252993.7675646544","2451970.63790679","1634400.7391552925","748058.5535238981","887452.4112337232","531446.4258934259","832101.0480002165","700263.893443346","727794.196260035","1094041.1580976248","1156441.5733625889","1247329.4871450663","5462311.311605811","1886250.447791338","1491308.2827329636","1228913.0083011985","2181652.4046292305","2377897.20900017","1795294.376398325","1621819.7471780777","3489791.9922202826","1886627.2640753835","1505380.0405563042","1498066.0457179844","1315712.843330495","1458523.3433728516","1534494.4012621492","1832031.1149890423","1388740.1782467663","1964325.4854782224","1837533.8023622409"
"Campo Formoso (BA)","655504.3989958763","638988.9670348167","935679.305470705","673206.1562206745","325111.9696829319","776649.1010611057","548047.964515686","328796.5054116249","303594.07614707947","227077.7609474659","516013.1700191498","382566.3658351898","392272.66058826447","849148.4189128876","221425.98825263977","403394.7862672806","371369.38103961945","139020.83096027374","239896.5825687647","301568.9785411954","472642.9772140682","293399.55609726906","1983450.8554069996","1727260.3066623807","181803.785623461","1097187.4847512245","983627.2069544792","774222.921251595","1113314.5428631306","84915.19923901558","526389.6827311516","1672073.269817233","1550669.3211443424"
"Salvador (BA)","82736.09344386822","64345.125259280205","51822.82468734309","56659.619594777","27992.805805683136","35146.005469441414","67151.45787203312","45960.68308895826","37409.466553092","53463.8417147398","53446.691863030195","38059.988226890564","33584.387966156006","30195.62799167633","26761.53551632166","455524.52519132197","513164.8421815336","2066445.9144331887","1998325.4076586962","1924394.2926298082","2129897.625962956","2403057.5456929803","2436746.0888385363","2334787.4999567345","2330294.7300408706","2160710.3864455596","2103519.355528012","2068735.07891199","1896832.920066744","1854817.7722695768","1453701.809947461","1522821.9965119362","1547563.4078304768"
"Barreiras (BA)","1118921.3537478447","994849.6528893709","923233.9693939686","1236955.307199955","1651658.8413354158","1529111.3999084234","1188475.5985124111","1123481.5744524598","1276759.1968058348","1418369.187260747","1207034.3628560305","1189787.9771829844","1234300.327218175","900630.347288549","1181880.267557621","555518.4606797695","518121.14467823505","1253480.028867986","1530182.3095303643","1068469.2743669152","794297.200291574","1457645.8864033222","3075110.770783007","2533577.9851243496","1261805.7780700028","1456675.7532690763","1206390.547433257","1240356.3984668255","1229763.808285594","1992245.956278652","1638585.6302802563","1461098.661285013","1473896.9060295671"
"Luís Eduardo Magalhães (BA)","633625.9970799685","386190.60700058937","336790.050131917","507437.65698325634","1357155.9070825577","932521.1184949875","1181017.85100317","703376.5091030598","1288674.437687099","1322094.6138231754","1582555.814564824","1198688.5312616825","779934.6136671305","400972.44705820084","444485.36182260513","403411.90677690506","586348.1204116344","487158.7931035161","1034038.4566037655","740472.5428931713","674078.7256256044","909328.7509150803","1260860.436484933","1837743.272593256","1521950.9779468179","700850.4510874748","693659.806095779","808627.1474626064","983579.6687212586","1275436.574668914","2020526.7694271803","1202897.7172482014","875148.4011207819"
"Riachão das Neves (BA)","378086.1802615945","458035.9667887561","698920.1959530282","674858.3316793806","573301.4339931159","544973.4197476493","714361.9242700438","590090.7949462738","1138048.2658171954","861484.2938981913","942700.3199326599","1563554.9919613942","1044988.5438441033","780081.5131958835","1620705.278393432","849713.4208701836","927176.4192703246","940107.1584553297","1194407.5917637276","1097437.4555845016","802361.5849083946","867981.3197739241","1774410.5340766765","1287357.7528723422","730052.8755169136","730013.023016015","459190.5441104058","565227.3177684658","679050.5625124011","617708.1714986237","1133872.720646773","813693.5731842138","712312.3361253991"
"Feira de Santana (BA)","118952.21141576767","129767.71576452255","82750.50769996643","121912.06727564335","54044.40408271551","50834.4857391119","37941.211145341396","37442.99320936203","21341.698600172997","26941.54610210657","27695.039898753166","29919.430089473724","34540.37833559513","92663.19161844254","100171.6416349411","86088.87672144175","39824.95150184631","589517.9792758226","632206.4071568549","624136.3673454523","697445.1557455584","797838.1493535042","858551.0979132652","862828.8252797723","880201.5862756073","787182.4070596695","805410.9240102768","880912.094896555","849702.0523619056","761104.3824725747","720065.2998157144","684362.5301654339","695707.1115769148"
