BIOMA,MUNICIPIO,AREAHA,ANODETEC,DATADETEC,Municípios,Ano,CO2_emitido
Cerrado,são desidério,12.52,2021,2021/07/28,são desidério,2021,3159579.701361537
Cerrado,luís eduardo magalhães,4.83,2021,2021/07/28,luís eduardo magalhães,2021,654262.0002045631
Cerrado,riachão das neves,7.41,2021,2021/07/28,riachão das neves,2021,761963.2862440944
Cerrado,baianópolis,2.91,2021,2021/08/22,baianópolis,2021,1700892.2622466087
Cerrado,santa rita de cássia,2.3,2021,2021/07/05,santa rita de cássia,2021,998700.5789114236
Cerrado,santa rita de cássia,2.48,2021,2021/07/05,santa rita de cássia,2021,998700.5789114236
Cerrado,riachão das neves,25.49,2022,2022/02/01,riachão das neves,2022,670183.0
Cerrado,baianópolis,366.63,2022,2022/09/03,baianópolis,2022,413632.0
Cerrado,cotegipe,143.85,2022,2022/09/06,cotegipe,2022,297663.0
Cerrado,baianópolis,32.63,2022,2022/09/05,baianópolis,2022,413632.0
Cerrado,são desidério,332.29,2022,2022/09/28,são desidério,2022,2729422.0
Cerrado,jaborandi,1389.44,2022,2022/09/02,jaborandi,2022,1734316.0
Mata Atlântica,encruzilhada,5.06,2022,2022/07/31,encruzilhada,2022,414662.0
Caatinga,jaborandi,5.74,2022,2022/05/01,jaborandi,2022,1734316.0
Caatinga,barra,217.43,2022,2022/05/01,barra,2022,312169.0
Cerrado,barreiras,27.66,2022,2022/09/16,barreiras,2022,996163.0
Cerrado,são desidério,1666.34,2022,2022/09/06,são desidério,2022,2729422.0
Cerrado,correntina,2200.52,2022,2022/09/06,correntina,2022,1473135.0
Cerrado,formosa do rio preto,280.92,2022,2022/10/18,formosa do rio preto,2022,2432263.0
Cerrado,correntina,661.07,2022,2022/10/06,correntina,2022,1473135.0
Cerrado,são desidério,240.87,2022,2022/10/18,são desidério,2022,2729422.0
Cerrado,luís eduardo magalhães,433.0,2022,2022/10/03,luís eduardo magalhães,2022,343098.0
Cerrado,são desidério,120.03,2022,2022/10/13,são desidério,2022,2729422.0
Cerrado,santa rita de cássia,88.82,2022,2022/10/06,santa rita de cássia,2022,569631.0
Cerrado,riachão das neves,8.51,2022,2022/10/29,riachão das neves,2022,670183.0
Cerrado,cotegipe,46.26,2022,2022/10/26,cotegipe,2022,297663.0
Cerrado,jaborandi,3.81,2022,2022/10/21,jaborandi,2022,1734316.0
Cerrado,correntina,21.65,2022,2022/10/03,correntina,2022,1473135.0
Cerrado,barreiras,58.34,2022,2022/10/26,barreiras,2022,996163.0
Cerrado,riachão das neves,90.58,2022,2022/10/15,riachão das neves,2022,670183.0
Caatinga,barra,135.99,2022,2022/06/01,barra,2022,312169.0
Caatinga,barra,65.6,2022,2022/06/01,barra,2022,312169.0
Caatinga,barra,152.97,2022,2022/05/01,barra,2022,312169.0
Caatinga,barra,11.6,2022,2022/06/01,barra,2022,312169.0
Cerrado,santa rita de cássia,6.65,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,barra,8.77,2022,2022/06/01,barra,2022,312169.0
Cerrado,riachão das neves,38.47,2022,2022/08/01,riachão das neves,2022,670183.0
Cerrado,santa rita de cássia,3.91,2022,2022/09/01,santa rita de cássia,2022,569631.0
Cerrado,santa rita de cássia,10.5,2022,2022/09/01,santa rita de cássia,2022,569631.0
Cerrado,santa rita de cássia,1.79,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,cotegipe,6.36,2022,2022/08/01,cotegipe,2022,297663.0
Cerrado,santa rita de cássia,4.53,2022,2022/08/01,santa rita de cássia,2022,569631.0
Caatinga,barra,4.34,2022,2022/06/01,barra,2022,312169.0
Caatinga,barra,4.57,2022,2022/06/01,barra,2022,312169.0
Caatinga,barra,444.6,2022,2022/06/01,barra,2022,312169.0
Cerrado,santa rita de cássia,10.61,2022,2022/09/01,santa rita de cássia,2022,569631.0
Cerrado,santa rita de cássia,10.77,2022,2022/08/01,santa rita de cássia,2022,569631.0
Caatinga,santa rita de cássia,26.2,2022,2022/07/01,santa rita de cássia,2022,569631.0
Cerrado,riachão das neves,191.21,2022,2022/09/01,riachão das neves,2022,670183.0
Caatinga,barra,2.17,2022,2022/07/01,barra,2022,312169.0
Caatinga,santa rita de cássia,9.58,2022,2022/07/01,santa rita de cássia,2022,569631.0
Cerrado,são desidério,1342.62,2022,2022/11/13,são desidério,2022,2729422.0
Cerrado,riachão das neves,550.93,2022,2022/11/13,riachão das neves,2022,670183.0
Caatinga,santa rita de cássia,49.8,2022,2022/06/01,santa rita de cássia,2022,569631.0
Cerrado,correntina,420.63,2022,2022/11/10,correntina,2022,1473135.0
Cerrado,santa rita de cássia,8.59,2022,2022/08/01,santa rita de cássia,2022,569631.0
Mata Atlântica,ibicuí,1.72,2022,2022/09/30,ibicuí,2022,245755.0
Caatinga,barra,84.85,2022,2022/06/01,barra,2022,312169.0
Mata Atlântica,valença,2.0,2022,2022/09/30,valença,2022,378871.0
Cerrado,santa rita de cássia,140.77,2022,2022/08/01,santa rita de cássia,2022,569631.0
Cerrado,barreiras,7.15,2022,2022/09/01,barreiras,2022,996163.0
Caatinga,santa rita de cássia,31.57,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,cotegipe,30.09,2022,2022/09/01,cotegipe,2022,297663.0
Caatinga,cotegipe,49.05,2022,2022/08/01,cotegipe,2022,297663.0
Cerrado,barreiras,154.47,2022,2022/09/01,barreiras,2022,996163.0
Cerrado,santa rita de cássia,3.33,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,jequié,23.0,2022,2022/08/01,jequié,2022,498001.0
Caatinga,cotegipe,8.54,2022,2022/08/01,cotegipe,2022,297663.0
Caatinga,cotegipe,0.99,2022,2022/08/01,cotegipe,2022,297663.0
Caatinga,santa rita de cássia,2.29,2022,2022/08/01,santa rita de cássia,2022,569631.0
Cerrado,santa rita de cássia,5.0,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,cotegipe,12.81,2022,2022/08/01,cotegipe,2022,297663.0
Caatinga,cotegipe,49.15,2022,2022/08/01,cotegipe,2022,297663.0
Cerrado,cotegipe,11.44,2022,2022/12/10,cotegipe,2022,297663.0
Cerrado,santa rita de cássia,18.25,2022,2022/12/29,santa rita de cássia,2022,569631.0
Cerrado,jaborandi,13.91,2022,2022/12/29,jaborandi,2022,1734316.0
Cerrado,baianópolis,722.1,2022,2022/12/05,baianópolis,2022,413632.0
Cerrado,riachão das neves,105.99,2022,2022/12/20,riachão das neves,2022,670183.0
Cerrado,santa rita de cássia,33.08,2022,2022/12/30,santa rita de cássia,2022,569631.0
Cerrado,santa rita de cássia,22.21,2022,2022/12/30,santa rita de cássia,2022,569631.0
Caatinga,cotegipe,9.33,2022,2022/08/01,cotegipe,2022,297663.0
Cerrado,santa rita de cássia,122.73,2022,2022/12/30,santa rita de cássia,2022,569631.0
Caatinga,santa rita de cássia,1.7,2022,2022/08/01,santa rita de cássia,2022,569631.0
Cerrado,cotegipe,18.46,2022,2022/12/10,cotegipe,2022,297663.0
Cerrado,cotegipe,386.17,2022,2022/12/10,cotegipe,2022,297663.0
Cerrado,jaborandi,279.21,2022,2022/12/29,jaborandi,2022,1734316.0
Caatinga,santa rita de cássia,14.79,2022,2022/08/01,santa rita de cássia,2022,569631.0
Caatinga,barra,93.79,2022,2022/08/01,barra,2022,312169.0
Cerrado,formosa do rio preto,263.58,2022,2022/12/29,formosa do rio preto,2022,2432263.0
Cerrado,santa rita de cássia,29.68,2022,2022/12/30,santa rita de cássia,2022,569631.0
Cerrado,formosa do rio preto,12.93,2022,2022/12/20,formosa do rio preto,2022,2432263.0
Caatinga,santa rita de cássia,94.66,2022,2022/08/01,santa rita de cássia,2022,569631.0
