,datahora,s_1,s_10,s_20,t_1,t_10,t_13,t_20,t_5,wd,ws
0,2019-01-01 12:00:00+00:00,37.342,37.416,37.367,27.53,27.33,-99999.0,27.31,27.43,267.79999,4.5
1,2019-01-02 12:00:00+00:00,37.412,37.48,37.392,27.8,27.53,-99999.0,27.41,27.63,258.5,3.9
2,2019-01-03 12:00:00+00:00,37.427,37.496,37.402,27.78,27.58,-99999.0,27.47,27.67,259.20001,3.7
3,2019-01-04 12:00:00+00:00,37.44,37.51,37.421,27.77,27.67,-99999.0,27.57,27.75,230.10001,4.5
4,2019-01-05 12:00:00+00:00,37.454,37.527,37.442,27.79,27.75,-99999.0,27.67,27.78,252.8,5.2
5,2019-01-06 12:00:00+00:00,37.466,37.54,37.457,27.84,27.78,-99999.0,27.7,27.83,273.60001,4.9
6,2019-01-07 12:00:00+00:00,37.479,37.556,37.472,27.79,27.78,-99999.0,27.76,27.8,283.70001,5.7
7,2019-01-08 12:00:00+00:00,37.511,37.581,37.492,27.71,27.66,-99999.0,27.61,27.7,300.5,5.3
8,2019-01-09 12:00:00+00:00,37.578,37.653,37.568,27.7,27.66,-99999.0,27.62,27.7,294.20001,5.2
9,2019-01-10 12:00:00+00:00,37.587,37.662,37.58,27.7,27.65,-99999.0,27.62,27.69,286.39999,5.4
10,2019-01-11 12:00:00+00:00,37.574,37.648,37.566,27.72,27.63,-99999.0,27.59,27.69,299.10001,4.2
11,2019-01-12 12:00:00+00:00,37.577,37.649,37.565,27.79,27.67,-99999.0,27.62,27.74,293.10001,4.0
12,2019-01-13 12:00:00+00:00,37.592,37.664,37.576,27.89,27.75,-99999.0,27.68,27.83,295.10001,4.2
13,2019-01-14 12:00:00+00:00,37.604,37.675,37.588,27.97,27.77,-99999.0,27.74,27.85,293.10001,4.0
14,2019-01-15 12:00:00+00:00,37.609,37.684,37.597,27.99,27.82,-99999.0,27.78,27.9,272.60001,4.2
15,2019-01-16 12:00:00+00:00,37.6,37.682,37.598,27.98,27.87,-99999.0,27.83,27.94,268.79999,4.3
16,2019-01-17 12:00:00+00:00,37.609,37.685,37.598,28.0,27.94,-99999.0,27.88,27.99,267.79999,4.5
17,2019-01-18 12:00:00+00:00,37.609,37.686,37.598,28.09,27.96,-99999.0,27.89,28.04,278.89999,4.2
18,2019-01-19 12:00:00+00:00,37.607,37.681,37.595,28.23,27.99,-99999.0,27.94,28.05,269.60001,3.7
19,2019-01-20 12:00:00+00:00,37.608,37.686,37.599,28.12,28.04,-99999.0,27.98,28.09,255.0,4.0
20,2019-01-21 12:00:00+00:00,37.601,37.683,37.601,28.09,28.07,-99999.0,28.04,28.09,268.20001,4.9
21,2019-01-22 12:00:00+00:00,37.604,37.684,37.598,28.13,28.09,-99999.0,28.05,28.13,273.60001,4.9
22,2019-01-23 12:00:00+00:00,37.596,37.682,37.601,28.19,28.14,-99999.0,28.11,28.17,271.39999,4.4
23,2019-01-24 12:00:00+00:00,37.605,37.683,37.595,28.26,28.17,-99999.0,28.14,28.23,270.20001,4.5
24,2019-01-25 12:00:00+00:00,37.606,37.678,37.598,28.46,28.22,-99999.0,28.2,28.3,286.20001,3.6
25,2019-01-26 12:00:00+00:00,37.541,37.614,37.52,28.27,28.22,-99999.0,28.18,28.26,267.39999,5.1
26,2019-01-27 12:00:00+00:00,37.556,37.638,37.549,28.23,28.21,-99999.0,28.18,28.23,275.20001,5.8
27,2019-01-28 12:00:00+00:00,37.599,37.68,37.591,28.3,28.26,-99999.0,28.22,28.3,297.29999,5.3
28,2019-01-29 12:00:00+00:00,37.54,37.617,37.531,28.34,28.2,-99999.0,28.19,28.29,304.60001,4.4
29,2019-01-30 12:00:00+00:00,37.585,37.661,37.574,28.57,28.37,-99999.0,28.34,28.46,286.20001,3.6
30,2019-01-31 12:00:00+00:00,37.608,37.679,37.589,28.66,28.48,-99999.0,28.43,28.58,274.10001,3.6
31,2019-02-01 12:00:00+00:00,37.577,37.652,37.562,28.58,28.48,-99999.0,28.42,28.55,273.79999,4.5
32,2019-02-02 12:00:00+00:00,37.576,37.656,37.568,28.64,28.55,-99999.0,28.51,28.61,266.89999,4.7
33,2019-02-03 12:00:00+00:00,37.598,37.68,37.592,28.85,28.6,-99999.0,28.58,28.67,242.39999,3.4
34,2019-02-04 12:00:00+00:00,37.618,37.707,37.618,28.77,28.71,-99999.0,28.66,28.77,174.39999,2.8
35,2019-02-05 12:00:00+00:00,37.641,37.722,37.63,28.85,28.78,-99999.0,28.74,28.83,180.39999,2.7
36,2019-02-06 12:00:00+00:00,37.65,37.729,37.639,28.98,28.79,-99999.0,28.76,28.87,180.39999,2.7
37,2019-02-07 12:00:00+00:00,37.658,37.738,37.639,29.01,28.87,-99999.0,28.76,28.96,224.2,3.5
38,2019-02-08 12:00:00+00:00,37.639,37.723,37.63,28.86,28.81,-99999.0,28.79,28.83,246.0,4.2
39,2019-02-09 12:00:00+00:00,37.652,37.736,37.645,28.92,28.89,-99999.0,28.86,28.92,240.3,4.2
40,2019-02-10 12:00:00+00:00,37.658,37.742,37.65,29.02,28.91,-99999.0,28.89,28.97,260.70001,4.1
41,2019-02-11 12:00:00+00:00,37.652,37.727,37.63,29.14,28.92,-99999.0,28.88,28.96,272.60001,3.8
42,2019-02-12 12:00:00+00:00,37.647,37.731,37.64,29.08,28.91,-99999.0,28.88,29.0,246.0,3.8
43,2019-02-13 12:00:00+00:00,37.657,37.743,37.649,28.99,28.96,-99999.0,28.91,28.99,173.10001,3.0
44,2019-02-14 12:00:00+00:00,37.626,37.72,37.629,28.95,28.95,-99999.0,28.93,28.96,144.7,3.3
45,2019-02-15 12:00:00+00:00,37.565,37.649,37.557,29.03,28.99,-99999.0,28.94,29.03,111.0,1.7
46,2019-02-16 12:00:00+00:00,37.573,37.66,37.566,29.06,29.04,-99999.0,29.01,29.06,184.60001,2.8
47,2019-02-17 12:00:00+00:00,37.645,37.73,37.633,29.04,29.03,-99999.0,29.01,29.05,189.7,3.8
48,2019-02-18 12:00:00+00:00,37.631,37.715,37.62,29.12,29.09,-99999.0,29.05,29.12,217.89999,3.6
49,2019-02-19 12:00:00+00:00,37.615,37.701,37.612,29.41,29.12,-99999.0,29.11,29.18,212.3,2.4
50,2019-02-20 12:00:00+00:00,37.582,37.678,37.592,29.51,29.2,-99999.0,29.13,29.33,197.2,2.4
51,2019-02-21 12:00:00+00:00,37.549,37.658,37.601,29.78,29.29,-99999.0,29.18,29.4,279.70001,1.0
52,2019-02-22 12:00:00+00:00,37.603,37.678,37.574,29.8,29.36,-99999.0,29.19,29.47,320.10001,3.1
53,2019-02-23 12:00:00+00:00,37.571,37.657,37.539,30.04,29.46,-99999.0,29.25,29.61,342.29999,2.1
54,2019-02-24 12:00:00+00:00,37.584,37.659,37.53,29.8,29.53,-99999.0,29.32,29.62,256.29999,2.5
55,2019-02-25 12:00:00+00:00,37.556,37.639,37.53,30.18,29.59,-99999.0,29.38,29.77,225.39999,2.0
56,2019-02-26 12:00:00+00:00,37.588,37.661,37.533,30.12,29.71,-99999.0,29.39,29.91,232.0,2.7
57,2019-02-27 12:00:00+00:00,37.59,37.672,37.559,30.09,29.71,-99999.0,29.52,29.84,236.5,2.7
58,2019-02-28 12:00:00+00:00,37.587,37.676,37.561,29.89,29.83,-99999.0,29.5,29.89,238.60001,4.8
59,2019-03-01 12:00:00+00:00,37.595,37.684,37.595,29.86,29.81,-99999.0,29.58,29.86,251.2,4.6
60,2019-03-02 12:00:00+00:00,37.615,37.704,37.627,29.78,29.71,-99999.0,29.6,29.75,280.39999,4.8
61,2019-03-03 12:00:00+00:00,37.577,37.666,37.572,29.66,29.64,-99999.0,29.6,29.67,276.60001,5.2
62,2019-03-04 12:00:00+00:00,37.546,37.637,37.545,29.59,29.6,-99999.0,29.6,29.6,255.89999,4.8
63,2019-03-05 12:00:00+00:00,37.565,37.649,37.557,29.61,29.5,-99999.0,29.49,29.53,293.10001,4.0
64,2019-03-06 12:00:00+00:00,37.582,37.662,37.568,29.54,29.45,-99999.0,29.43,29.51,303.10001,4.2
65,2019-03-07 12:00:00+00:00,37.594,37.68,37.586,29.52,29.49,-99999.0,29.46,29.52,298.60001,4.5
66,2019-03-08 12:00:00+00:00,37.582,37.669,37.574,29.5,29.48,-99999.0,29.45,29.51,253.8,4.6
67,2019-03-09 12:00:00+00:00,37.595,37.679,37.584,29.82,29.46,-99999.0,29.45,29.5,264.39999,2.8
68,2019-03-10 12:00:00+00:00,37.626,37.706,37.61,30.0,29.55,-99999.0,29.52,29.61,301.0,2.7
69,2019-03-11 12:00:00+00:00,37.655,37.741,37.642,29.72,29.64,-99999.0,29.59,29.7,238.39999,3.2
70,2019-03-12 12:00:00+00:00,37.654,37.739,37.642,29.86,29.63,-99999.0,29.6,29.66,232.0,2.7
71,2019-03-13 12:00:00+00:00,37.649,37.738,37.64,29.88,29.65,-99999.0,29.6,29.74,241.89999,3.0
72,2019-03-14 12:00:00+00:00,37.668,37.756,37.658,29.76,29.69,-99999.0,29.64,29.74,240.0,4.0
73,2019-03-15 12:00:00+00:00,37.678,37.766,37.668,29.73,29.66,-99999.0,29.63,29.7,217.7,3.2
74,2019-03-16 12:00:00+00:00,37.69,37.767,37.671,29.9,29.62,-99999.0,29.6,29.66,222.0,2.2
75,2019-03-17 12:00:00+00:00,37.679,37.776,37.675,30.0,29.71,-99999.0,29.64,29.83,216.3,1.9
76,2019-03-18 12:00:00+00:00,37.704,37.79,37.682,29.99,29.83,-99999.0,29.71,29.9,142.0,1.9
77,2019-03-19 12:00:00+00:00,37.71,37.798,37.688,29.96,29.87,-99999.0,29.74,29.91,125.0,2.6
78,2019-03-20 12:00:00+00:00,37.709,37.801,37.703,29.86,29.85,-99999.0,29.82,29.87,152.2,3.2
79,2019-03-21 12:00:00+00:00,37.658,37.783,37.7,29.79,29.8,-99999.0,29.79,29.81,114.0,2.9
80,2019-03-22 12:00:00+00:00,37.676,37.767,37.677,30.08,29.78,-99999.0,29.78,29.81,336.0,1.9
81,2019-03-23 12:00:00+00:00,37.579,37.755,37.668,29.72,29.73,-99999.0,29.73,29.74,277.60001,3.3
82,2019-03-24 12:00:00+00:00,37.44,37.588,37.61,29.48,29.53,-99999.0,29.65,29.5,241.0,4.8
83,2019-03-25 12:00:00+00:00,37.431,37.526,37.434,29.42,29.43,-99999.0,29.44,29.43,240.10001,5.9
84,2019-03-26 12:00:00+00:00,37.487,37.577,37.481,29.45,29.45,-99999.0,29.43,29.46,205.10001,4.2
85,2019-03-27 12:00:00+00:00,37.509,37.601,37.507,29.51,29.47,-99999.0,29.44,29.51,201.0,3.3
86,2019-03-28 12:00:00+00:00,37.513,37.616,37.527,29.91,29.52,-99999.0,29.5,29.55,201.0,0.9
87,2019-03-29 12:00:00+00:00,37.473,37.561,37.462,29.77,29.53,-99999.0,29.49,29.58,11.5,2.0
88,2019-03-30 12:00:00+00:00,37.496,37.578,37.484,29.67,29.5,-99999.0,29.49,29.55,349.0,2.9
89,2019-03-31 12:00:00+00:00,37.502,37.587,37.494,29.75,29.51,-99999.0,29.49,29.56,345.5,2.7
90,2019-04-01 12:00:00+00:00,37.484,37.568,37.475,29.52,29.47,-99999.0,29.45,29.52,356.60001,3.6
91,2019-04-02 12:00:00+00:00,37.477,37.568,37.474,29.49,29.45,-99999.0,29.43,29.47,26.7,3.1
92,2019-04-03 12:00:00+00:00,37.487,37.578,37.487,29.61,29.4,-99999.0,29.39,29.43,29.1,1.3
93,2019-04-04 12:00:00+00:00,37.498,37.601,37.507,29.68,29.41,-99999.0,29.39,29.45,260.0,1.1
94,2019-04-05 12:00:00+00:00,37.529,37.613,37.52,29.55,29.43,-99999.0,29.41,29.46,269.20001,3.3
95,2019-04-06 12:00:00+00:00,37.582,37.678,37.588,29.44,29.42,-99999.0,29.41,29.44,249.0,4.0
96,2019-04-07 12:00:00+00:00,37.597,37.694,37.6,29.43,29.39,-99999.0,29.37,29.42,255.5,3.9
97,2019-04-08 12:00:00+00:00,37.599,37.691,37.593,29.42,29.39,-99999.0,29.36,29.43,263.39999,3.6
98,2019-04-09 12:00:00+00:00,37.617,37.705,37.607,29.49,29.4,-99999.0,29.39,29.44,242.2,3.2
99,2019-04-10 12:00:00+00:00,37.609,37.698,37.603,29.52,29.39,-99999.0,29.37,29.45,226.0,2.6
100,2019-04-11 12:00:00+00:00,37.6,37.693,37.602,29.43,29.38,-99999.0,29.37,29.41,236.5,1.5
101,2019-04-12 12:00:00+00:00,37.566,37.653,37.561,29.62,29.36,-99999.0,29.35,29.39,212.3,1.0
102,2019-04-13 12:00:00+00:00,37.568,37.654,37.556,29.53,29.42,-99999.0,29.37,29.48,239.7,2.1
103,2019-04-14 12:00:00+00:00,37.579,37.669,37.574,29.51,29.44,-99999.0,29.43,29.49,255.5,2.7
104,2019-04-15 12:00:00+00:00,37.617,37.712,37.615,29.59,29.49,-99999.0,29.46,29.52,285.29999,3.1
105,2019-04-16 12:00:00+00:00,37.608,37.701,37.605,29.5,29.45,-99999.0,29.43,29.48,288.5,3.5
106,2019-04-17 12:00:00+00:00,37.589,37.685,37.595,29.49,29.45,-99999.0,29.44,29.47,237.2,2.9
107,2019-04-18 12:00:00+00:00,37.548,37.655,37.569,29.39,29.4,-99999.0,29.4,29.4,227.60001,2.8
108,2019-04-19 12:00:00+00:00,37.545,37.645,37.551,29.32,29.33,-99999.0,29.33,29.34,216.60001,3.9
109,2019-04-20 12:00:00+00:00,37.543,37.652,37.566,29.32,29.31,-99999.0,29.31,29.32,242.39999,3.4
110,2019-04-21 12:00:00+00:00,37.579,37.667,37.578,29.49,29.32,-99999.0,29.32,29.36,180.0,2.2
111,2019-04-22 12:00:00+00:00,37.569,37.659,37.564,29.41,29.33,-99999.0,29.31,29.38,250.39999,2.9
112,2019-04-23 12:00:00+00:00,37.612,37.709,37.615,29.41,29.41,-99999.0,29.4,29.42,271.39999,4.4
113,2019-04-24 12:00:00+00:00,37.601,37.697,37.602,29.34,29.35,-99999.0,29.35,29.36,301.0,5.0
114,2019-04-25 12:00:00+00:00,37.569,37.665,37.563,29.28,29.28,-99999.0,29.26,29.29,289.39999,5.1
115,2019-04-26 12:00:00+00:00,37.577,37.673,37.578,29.28,29.26,-99999.0,29.26,29.29,285.10001,4.3
116,2019-04-27 12:00:00+00:00,37.552,37.651,37.556,29.28,29.21,-99999.0,29.21,29.24,293.5,3.5
117,2019-04-28 12:00:00+00:00,37.547,37.64,37.543,29.36,29.18,-99999.0,29.18,29.2,227.60001,2.2
118,2019-04-29 12:00:00+00:00,37.565,37.662,37.565,29.2,29.21,-99999.0,29.21,29.21,150.0,4.0
119,2019-04-30 12:00:00+00:00,37.573,37.669,37.57,29.17,29.18,-99999.0,29.18,29.18,78.5,2.1
120,2019-05-01 12:00:00+00:00,37.538,37.632,37.532,29.06,29.05,-99999.0,29.03,29.07,322.0,5.1
121,2019-05-02 12:00:00+00:00,37.552,37.645,37.546,29.14,29.04,-99999.0,29.03,29.07,311.20001,3.1
122,2019-05-03 12:00:00+00:00,37.532,37.627,37.529,29.01,28.99,-99999.0,28.98,29.01,312.0,4.1
123,2019-05-04 12:00:00+00:00,37.511,37.604,37.505,29.01,28.9,-99999.0,28.9,28.93,301.29999,3.4
124,2019-05-05 12:00:00+00:00,37.507,37.606,37.509,28.95,28.91,-99999.0,28.9,28.94,293.29999,3.7
125,2019-05-06 12:00:00+00:00,37.488,37.597,37.512,28.88,28.9,-99999.0,28.91,28.9,257.29999,3.3
126,2019-05-07 12:00:00+00:00,37.44,37.539,37.447,28.81,28.78,-99999.0,28.78,28.8,156.0,2.6
127,2019-05-08 12:00:00+00:00,37.413,37.508,37.412,28.68,28.68,-99999.0,28.68,28.69,33.5,2.9
128,2019-05-09 12:00:00+00:00,37.424,37.517,37.417,28.57,28.59,-99999.0,28.6,28.59,330.29999,6.1
129,2019-05-10 12:00:00+00:00,37.387,37.481,37.381,28.41,28.42,-99999.0,28.43,28.43,315.0,5.7
130,2019-05-11 12:00:00+00:00,37.291,37.382,37.283,28.19,28.19,-99999.0,28.19,28.2,292.60001,5.4
131,2019-05-12 12:00:00+00:00,37.31,37.403,37.305,28.14,28.15,-99999.0,28.15,28.15,282.0,5.6
132,2019-05-13 12:00:00+00:00,37.339,37.427,37.328,28.21,28.15,-99999.0,28.14,28.17,284.20001,3.8
133,2019-05-14 12:00:00+00:00,37.363,37.451,37.352,28.37,28.16,-99999.0,28.15,28.19,319.29999,2.4
134,2019-05-15 12:00:00+00:00,37.304,37.408,37.31,28.44,28.14,-99999.0,28.13,28.17,299.10001,1.3
