,datahora,s_1,s_10,s_20,t_1,t_10,t_13,t_20,t_5,wd,ws
0,2019-01-01 12:00:00+00:00,36.882,-99999.0,36.934,27.24,-99999.0,-99999.0,27.15,-99999.0,278.5,5.7
1,2019-01-02 12:00:00+00:00,36.902,-99999.0,36.959,27.3,-99999.0,-99999.0,27.19,-99999.0,278.29999,5.0
2,2019-01-03 12:00:00+00:00,36.919,-99999.0,36.977,27.29,-99999.0,-99999.0,27.24,-99999.0,274.0,5.7
3,2019-01-04 12:00:00+00:00,36.923,-99999.0,36.976,27.31,-99999.0,-99999.0,27.23,-99999.0,267.89999,5.0
4,2019-01-05 12:00:00+00:00,36.931,-99999.0,36.985,27.2,-99999.0,-99999.0,27.19,-99999.0,270.60001,6.3
5,2019-01-06 12:00:00+00:00,36.926,-99999.0,36.981,27.21,-99999.0,-99999.0,27.15,-99999.0,272.10001,5.6
6,2019-01-07 12:00:00+00:00,36.926,-99999.0,36.981,27.19,-99999.0,-99999.0,27.14,-99999.0,276.5,6.0
7,2019-01-08 12:00:00+00:00,36.938,-99999.0,37.0,27.18,-99999.0,-99999.0,27.14,-99999.0,279.70001,6.2
8,2019-01-09 12:00:00+00:00,36.967,-99999.0,37.026,27.2,-99999.0,-99999.0,27.16,-99999.0,273.10001,6.2
9,2019-01-10 12:00:00+00:00,36.968,-99999.0,37.028,27.19,-99999.0,-99999.0,27.16,-99999.0,279.20001,6.6
10,2019-01-11 12:00:00+00:00,36.984,-99999.0,37.039,27.22,-99999.0,-99999.0,27.17,-99999.0,283.70001,6.3
11,2019-01-12 12:00:00+00:00,36.995,-99999.0,37.05,27.27,-99999.0,-99999.0,27.2,-99999.0,289.39999,3.9
12,2019-01-13 12:00:00+00:00,37.0,-99999.0,37.059,27.28,-99999.0,-99999.0,27.23,-99999.0,277.79999,5.4
13,2019-01-14 12:00:00+00:00,37.02,-99999.0,37.078,27.28,-99999.0,-99999.0,27.23,-99999.0,278.5,5.7
14,2019-01-15 12:00:00+00:00,37.027,-99999.0,37.083,27.33,-99999.0,-99999.0,27.26,-99999.0,280.20001,5.8
15,2019-01-16 12:00:00+00:00,37.034,-99999.0,37.09,27.38,-99999.0,-99999.0,27.3,-99999.0,285.79999,5.7
16,2019-01-17 12:00:00+00:00,37.06,-99999.0,37.117,27.41,-99999.0,-99999.0,27.37,-99999.0,273.10001,6.7
17,2019-01-18 12:00:00+00:00,37.098,-99999.0,37.151,27.47,-99999.0,-99999.0,27.37,-99999.0,272.20001,6.0
18,2019-01-19 12:00:00+00:00,37.094,-99999.0,37.145,27.44,-99999.0,-99999.0,27.35,-99999.0,261.60001,5.4
19,2019-01-20 12:00:00+00:00,37.113,-99999.0,37.168,27.48,-99999.0,-99999.0,27.4,-99999.0,254.89999,5.5
20,2019-01-21 12:00:00+00:00,37.154,-99999.0,37.208,27.55,-99999.0,-99999.0,27.48,-99999.0,273.89999,6.1
21,2019-01-22 12:00:00+00:00,37.192,-99999.0,37.252,27.59,-99999.0,-99999.0,27.5,-99999.0,279.60001,5.5
22,2019-01-23 12:00:00+00:00,37.239,-99999.0,37.296,27.51,-99999.0,-99999.0,27.46,-99999.0,268.70001,5.8
23,2019-01-24 12:00:00+00:00,37.262,-99999.0,37.328,27.53,-99999.0,-99999.0,27.42,-99999.0,272.10001,5.6
24,2019-01-25 12:00:00+00:00,37.279,-99999.0,37.344,27.61,-99999.0,-99999.0,27.42,-99999.0,288.10001,4.9
25,2019-01-26 12:00:00+00:00,37.237,-99999.0,37.356,27.64,-99999.0,-99999.0,27.44,-99999.0,271.10001,5.3
26,2019-01-27 12:00:00+00:00,37.055,-99999.0,37.315,27.7,-99999.0,-99999.0,27.51,-99999.0,290.10001,5.8
27,2019-01-28 12:00:00+00:00,36.936,-99999.0,37.152,27.68,-99999.0,-99999.0,27.57,-99999.0,287.70001,6.4
28,2019-01-29 12:00:00+00:00,36.863,-99999.0,36.96,27.76,-99999.0,-99999.0,27.69,-99999.0,285.5,5.4
29,2019-01-30 12:00:00+00:00,36.845,-99999.0,36.924,27.84,-99999.0,-99999.0,27.75,-99999.0,304.0,5.2
30,2019-01-31 12:00:00+00:00,36.803,-99999.0,36.857,27.81,-99999.0,-99999.0,27.76,-99999.0,273.10001,5.0
31,2019-02-01 12:00:00+00:00,36.795,-99999.0,36.85,27.78,-99999.0,-99999.0,27.71,-99999.0,288.60001,5.7
32,2019-02-02 12:00:00+00:00,36.793,-99999.0,36.852,27.75,-99999.0,-99999.0,27.68,-99999.0,280.89999,4.7
33,2019-02-03 12:00:00+00:00,36.812,-99999.0,36.866,27.86,-99999.0,-99999.0,27.74,-99999.0,275.10001,5.0
34,2019-02-04 12:00:00+00:00,36.812,-99999.0,36.866,27.93,-99999.0,-99999.0,27.81,-99999.0,259.89999,4.4
35,2019-02-05 12:00:00+00:00,36.828,-99999.0,36.88,28.04,-99999.0,-99999.0,27.91,-99999.0,259.89999,4.4
36,2019-02-06 12:00:00+00:00,36.833,-99999.0,36.889,28.08,-99999.0,-99999.0,27.96,-99999.0,273.10001,4.1
37,2019-02-07 12:00:00+00:00,36.842,-99999.0,36.896,28.01,-99999.0,-99999.0,27.97,-99999.0,268.70001,5.8
38,2019-02-08 12:00:00+00:00,36.844,-99999.0,36.899,27.96,-99999.0,-99999.0,27.93,-99999.0,263.60001,5.5
39,2019-02-09 12:00:00+00:00,36.839,-99999.0,36.895,28.0,-99999.0,-99999.0,27.96,-99999.0,265.5,6.1
40,2019-02-10 12:00:00+00:00,36.847,-99999.0,36.902,28.0,-99999.0,-99999.0,27.97,-99999.0,278.70001,6.4
41,2019-02-11 12:00:00+00:00,36.839,-99999.0,36.895,28.03,-99999.0,-99999.0,27.98,-99999.0,276.20001,6.4
42,2019-02-12 12:00:00+00:00,36.837,-99999.0,36.891,28.04,-99999.0,-99999.0,27.99,-99999.0,271.10001,5.3
43,2019-02-13 12:00:00+00:00,36.829,-99999.0,36.884,28.09,-99999.0,-99999.0,27.99,-99999.0,243.8,4.3
44,2019-02-14 12:00:00+00:00,36.831,-99999.0,36.883,28.19,-99999.0,-99999.0,28.02,-99999.0,243.10001,3.5
45,2019-02-15 12:00:00+00:00,36.833,-99999.0,36.884,28.29,-99999.0,-99999.0,28.04,-99999.0,238.89999,3.1
46,2019-02-16 12:00:00+00:00,36.833,-99999.0,36.883,28.29,-99999.0,-99999.0,28.09,-99999.0,233.10001,4.4
47,2019-02-17 12:00:00+00:00,36.833,-99999.0,36.885,28.31,-99999.0,-99999.0,28.13,-99999.0,238.7,4.5
48,2019-02-18 12:00:00+00:00,36.836,-99999.0,36.887,28.46,-99999.0,-99999.0,28.16,-99999.0,270.10001,3.6
49,2019-02-19 12:00:00+00:00,36.844,-99999.0,36.895,28.45,-99999.0,-99999.0,28.22,-99999.0,282.29999,4.5
50,2019-02-20 12:00:00+00:00,36.848,-99999.0,36.9,28.51,-99999.0,-99999.0,28.26,-99999.0,265.79999,4.3
51,2019-02-21 12:00:00+00:00,36.85,-99999.0,36.905,28.53,-99999.0,-99999.0,28.27,-99999.0,271.89999,4.3
52,2019-02-22 12:00:00+00:00,36.86,-99999.0,36.917,28.69,-99999.0,-99999.0,28.33,-99999.0,263.89999,3.5
53,2019-02-23 12:00:00+00:00,36.838,-99999.0,36.92,28.99,-99999.0,-99999.0,28.38,-99999.0,262.39999,1.6
54,2019-02-24 12:00:00+00:00,36.894,-99999.0,36.926,28.99,-99999.0,-99999.0,28.43,-99999.0,223.89999,2.7
55,2019-02-25 12:00:00+00:00,36.891,-99999.0,36.921,29.22,-99999.0,-99999.0,28.5,-99999.0,205.89999,2.0
56,2019-02-26 12:00:00+00:00,36.946,-99999.0,36.988,29.25,-99999.0,-99999.0,28.64,-99999.0,239.8,3.5
57,2019-02-27 12:00:00+00:00,36.949,-99999.0,36.983,29.16,-99999.0,-99999.0,28.68,-99999.0,237.5,3.9
58,2019-02-28 12:00:00+00:00,36.947,-99999.0,37.024,29.13,-99999.0,-99999.0,28.72,-99999.0,257.79999,5.1
59,2019-03-01 12:00:00+00:00,36.993,-99999.0,37.055,28.94,-99999.0,-99999.0,28.77,-99999.0,266.79999,5.8
60,2019-03-02 12:00:00+00:00,37.104,-99999.0,37.179,28.93,-99999.0,-99999.0,28.68,-99999.0,278.10001,6.1
61,2019-03-03 12:00:00+00:00,37.235,-99999.0,37.298,28.78,-99999.0,-99999.0,28.66,-99999.0,258.20001,5.9
62,2019-03-04 12:00:00+00:00,37.148,-99999.0,37.262,28.69,-99999.0,-99999.0,28.64,-99999.0,266.79999,5.8
63,2019-03-05 12:00:00+00:00,37.15,-99999.0,37.237,28.69,-99999.0,-99999.0,28.54,-99999.0,279.70001,6.2
64,2019-03-06 12:00:00+00:00,37.182,-99999.0,37.244,28.66,-99999.0,-99999.0,28.6,-99999.0,291.5,5.4
65,2019-03-07 12:00:00+00:00,37.194,-99999.0,37.247,28.77,-99999.0,-99999.0,28.62,-99999.0,280.20001,4.4
66,2019-03-08 12:00:00+00:00,37.212,-99999.0,37.264,28.79,-99999.0,-99999.0,28.66,-99999.0,270.89999,4.9
67,2019-03-09 12:00:00+00:00,37.23,-99999.0,37.289,28.85,-99999.0,-99999.0,28.7,-99999.0,273.10001,5.0
68,2019-03-10 12:00:00+00:00,37.229,-99999.0,37.303,29.12,-99999.0,-99999.0,28.72,-99999.0,251.7,2.4
69,2019-03-11 12:00:00+00:00,37.278,-99999.0,37.349,29.07,-99999.0,-99999.0,28.74,-99999.0,260.5,4.2
70,2019-03-12 12:00:00+00:00,37.293,-99999.0,37.358,28.91,-99999.0,-99999.0,28.79,-99999.0,265.60001,5.5
71,2019-03-13 12:00:00+00:00,37.327,-99999.0,37.388,28.83,-99999.0,-99999.0,28.81,-99999.0,281.60001,6.6
72,2019-03-14 12:00:00+00:00,37.332,-99999.0,37.394,28.77,-99999.0,-99999.0,28.74,-99999.0,271.39999,6.2
73,2019-03-15 12:00:00+00:00,37.346,-99999.0,37.408,28.89,-99999.0,-99999.0,28.72,-99999.0,273.10001,4.1
74,2019-03-16 12:00:00+00:00,37.332,-99999.0,37.41,28.93,-99999.0,-99999.0,28.74,-99999.0,271.89999,4.3
75,2019-03-17 12:00:00+00:00,37.284,-99999.0,37.398,29.04,-99999.0,-99999.0,28.77,-99999.0,277.5,3.6
76,2019-03-18 12:00:00+00:00,37.241,-99999.0,37.386,29.16,-99999.0,-99999.0,28.82,-99999.0,259.5,2.8
77,2019-03-19 12:00:00+00:00,37.214,-99999.0,37.356,29.19,-99999.0,-99999.0,28.86,-99999.0,229.2,3.5
78,2019-03-20 12:00:00+00:00,37.244,-99999.0,37.329,29.15,-99999.0,-99999.0,28.96,-99999.0,205.3,4.3
79,2019-03-21 12:00:00+00:00,37.262,-99999.0,37.33,29.1,-99999.0,-99999.0,29.03,-99999.0,206.89999,6.0
80,2019-03-22 12:00:00+00:00,37.321,-99999.0,37.391,29.07,-99999.0,-99999.0,29.03,-99999.0,204.5,5.4
81,2019-03-23 12:00:00+00:00,37.208,-99999.0,37.279,29.05,-99999.0,-99999.0,28.98,-99999.0,225.10001,5.0
82,2019-03-24 12:00:00+00:00,37.188,-99999.0,37.253,29.01,-99999.0,-99999.0,28.98,-99999.0,229.39999,5.5
83,2019-03-25 12:00:00+00:00,37.143,-99999.0,37.204,29.08,-99999.0,-99999.0,28.91,-99999.0,260.5,5.0
84,2019-03-26 12:00:00+00:00,37.155,-99999.0,37.216,28.98,-99999.0,-99999.0,28.94,-99999.0,267.70001,6.6
85,2019-03-27 12:00:00+00:00,37.104,-99999.0,37.172,28.93,-99999.0,-99999.0,28.84,-99999.0,288.5,5.4
86,2019-03-28 12:00:00+00:00,37.064,-99999.0,37.124,28.93,-99999.0,-99999.0,28.85,-99999.0,296.10001,5.3
87,2019-03-29 12:00:00+00:00,37.022,-99999.0,37.092,28.88,-99999.0,-99999.0,28.84,-99999.0,302.10001,4.7
88,2019-03-30 12:00:00+00:00,36.962,-99999.0,37.064,28.74,-99999.0,-99999.0,28.77,-99999.0,276.60001,4.5
89,2019-03-31 12:00:00+00:00,36.906,-99999.0,37.055,28.73,-99999.0,-99999.0,28.73,-99999.0,282.0,3.5
90,2019-04-01 12:00:00+00:00,36.878,-99999.0,37.06,28.92,-99999.0,-99999.0,28.83,-99999.0,289.0,3.4
91,2019-04-02 12:00:00+00:00,36.802,-99999.0,36.989,29.08,-99999.0,-99999.0,28.88,-99999.0,307.39999,2.2
92,2019-04-03 12:00:00+00:00,36.828,-99999.0,36.911,29.31,-99999.0,-99999.0,28.97,-99999.0,308.20001,3.1
93,2019-04-04 12:00:00+00:00,36.816,-99999.0,36.89,29.33,-99999.0,-99999.0,29.06,-99999.0,258.60001,3.0
94,2019-04-05 12:00:00+00:00,36.768,-99999.0,36.869,29.12,-99999.0,-99999.0,29.07,-99999.0,265.89999,3.7
95,2019-04-06 12:00:00+00:00,36.776,-99999.0,36.843,29.1,-99999.0,-99999.0,29.04,-99999.0,275.10001,5.0
96,2019-04-07 12:00:00+00:00,36.762,-99999.0,36.814,29.05,-99999.0,-99999.0,29.01,-99999.0,277.79999,5.4
97,2019-04-08 12:00:00+00:00,36.799,-99999.0,36.853,29.09,-99999.0,-99999.0,29.05,-99999.0,276.0,5.3
98,2019-04-09 12:00:00+00:00,36.812,-99999.0,36.862,29.18,-99999.0,-99999.0,29.02,-99999.0,262.0,3.8
99,2019-04-10 12:00:00+00:00,36.849,-99999.0,36.905,29.21,-99999.0,-99999.0,29.06,-99999.0,249.5,3.9
100,2019-04-11 12:00:00+00:00,36.854,-99999.0,36.915,29.12,-99999.0,-99999.0,29.04,-99999.0,249.10001,4.5
101,2019-04-12 12:00:00+00:00,36.861,-99999.0,36.921,29.19,-99999.0,-99999.0,29.06,-99999.0,259.70001,3.6
102,2019-04-13 12:00:00+00:00,36.871,-99999.0,37.021,29.08,-99999.0,-99999.0,28.99,-99999.0,277.5,4.7
103,2019-04-14 12:00:00+00:00,37.014,-99999.0,37.138,28.86,-99999.0,-99999.0,28.85,-99999.0,286.10001,6.0
104,2019-04-15 12:00:00+00:00,37.14,-99999.0,37.195,28.85,-99999.0,-99999.0,28.8,-99999.0,279.0,5.2
105,2019-04-16 12:00:00+00:00,37.185,-99999.0,37.231,28.92,-99999.0,-99999.0,28.78,-99999.0,291.5,4.0
106,2019-04-17 12:00:00+00:00,37.26,-99999.0,37.314,29.01,-99999.0,-99999.0,28.88,-99999.0,259.70001,3.6
107,2019-04-18 12:00:00+00:00,37.289,-99999.0,37.346,28.99,-99999.0,-99999.0,28.89,-99999.0,258.39999,4.0
108,2019-04-19 12:00:00+00:00,37.294,-99999.0,37.348,28.95,-99999.0,-99999.0,28.9,-99999.0,256.39999,4.7
109,2019-04-20 12:00:00+00:00,37.252,-99999.0,37.346,28.95,-99999.0,-99999.0,28.93,-99999.0,267.10001,5.2
110,2019-04-21 12:00:00+00:00,37.076,-99999.0,37.156,28.84,-99999.0,-99999.0,28.8,-99999.0,282.5,5.5
111,2019-04-22 12:00:00+00:00,37.068,-99999.0,37.123,28.82,-99999.0,-99999.0,28.8,-99999.0,281.20001,6.3
112,2019-04-23 12:00:00+00:00,37.053,-99999.0,37.11,28.72,-99999.0,-99999.0,28.71,-99999.0,283.70001,6.3
113,2019-04-24 12:00:00+00:00,37.02,-99999.0,37.075,28.62,-99999.0,-99999.0,28.6,-99999.0,294.10001,6.2
114,2019-04-25 12:00:00+00:00,37.005,-99999.0,37.06,28.56,-99999.0,-99999.0,28.52,-99999.0,283.0,5.7
115,2019-04-26 12:00:00+00:00,37.027,-99999.0,37.081,28.56,-99999.0,-99999.0,28.5,-99999.0,288.29999,5.1
116,2019-04-27 12:00:00+00:00,37.064,-99999.0,37.118,28.61,-99999.0,-99999.0,28.52,-99999.0,284.39999,4.6
117,2019-04-28 12:00:00+00:00,37.084,-99999.0,37.138,28.7,-99999.0,-99999.0,28.57,-99999.0,270.5,4.0
118,2019-04-29 12:00:00+00:00,37.063,-99999.0,37.121,28.69,-99999.0,-99999.0,28.56,-99999.0,239.8,3.5
119,2019-04-30 12:00:00+00:00,37.047,-99999.0,37.111,28.77,-99999.0,-99999.0,28.58,-99999.0,246.5,3.3
120,2019-05-01 12:00:00+00:00,37.073,-99999.0,37.135,28.84,-99999.0,-99999.0,28.63,-99999.0,284.70001,3.6
121,2019-05-02 12:00:00+00:00,37.118,-99999.0,37.171,28.86,-99999.0,-99999.0,28.69,-99999.0,256.0,2.6
