CODEALERTA;FONTE;BIOMA;ESTADO;MUNICIPIO;AREAHA;ANODETEC;DATADETEC;DTIMGANT;DTIMGDEP;DTPUBLI;VPRESSAO
1226926;{SAD-CAATINGA};Caatinga;BAHIA;Iaçu;29.600.000.000;20.240.000.000.000;01/01/2024;26/01/2023;14/02/2024;30/04/2024;agriculture
1226922;{SAD-CAATINGA};Caatinga;BAHIA;Miguel Calmon;16.900.000.000;20.240.000.000.000;01/01/2024;30/06/2023;31/01/2024;30/04/2024;agriculture
1227303;{SAD-CAATINGA};Caatinga;BAHIA;Buritirama;20.500.000.000;20.240.000.000.000;01/01/2024;17/03/2023;10/10/2023;30/04/2024;agriculture
1227296;{SAD-CAATINGA};Caatinga;BAHIA;Piatã;0.6900000000;20.240.000.000.000;01/01/2024;27/04/2023;17/06/2023;30/04/2024;agriculture
1227291;{SAD-CAATINGA};Caatinga;BAHIA;Cotegipe;239.700.000.000;20.240.000.000.000;01/01/2024;12/08/2023;17/10/2023;30/04/2024;agriculture
1226810;{SAD-CAATINGA};Caatinga;BAHIA;Jeremoabo;75.600.000.000;20.240.000.000.000;01/01/2024;26/01/2023;28/10/2023;30/04/2024;agriculture
1226805;{SAD-CAATINGA};Caatinga;BAHIA;Riacho de Santana;489.300.000.000;20.240.000.000.000;01/01/2024;27/02/2022;01/04/2023;30/04/2024;agriculture
1226750;{SAD-CAATINGA};Caatinga;BAHIA;Jeremoabo;110.400.000.000;20.240.000.000.000;01/01/2024;14/04/2023;20/01/2024;30/04/2024;agriculture
1226744;{SAD-CAATINGA};Caatinga;BAHIA;Mundo Novo;13.300.000.000;20.240.000.000.000;01/01/2024;19/04/2023;08/01/2024;30/04/2024;agriculture
1226738;{SAD-CAATINGA};Caatinga;BAHIA;Cordeiros;25.200.000.000;20.240.000.000.000;01/01/2024;05/08/2023;13/01/2024;30/04/2024;agriculture
1226734;{SAD-CAATINGA};Caatinga;BAHIA;Caldeirão Grande;23.600.000.000;20.240.000.000.000;01/01/2024;06/01/2023;14/01/2024;30/04/2024;agriculture
1226735;{SAD-CAATINGA};Caatinga;BAHIA;Jeremoabo;16.900.000.000;20.240.000.000.000;01/01/2024;13/05/2023;29/01/2024;30/04/2024;agriculture
