BIOMA,ESTADO,MUNICIPIO,DTIMGANT,DTIMGDEP
Caatinga,BAHIA,Iaçu,26/01/2023,14/02/2024
Caatinga,BAHIA,Miguel Calmon,30/06/2023,31/01/2024
Caatinga,BAHIA,Buritirama,17/03/2023,10/10/2023
Caatinga,BAHIA,Piatã,27/04/2023,17/06/2023
Caatinga,BAHIA,Cotegipe,12/08/2023,17/10/2023
Caatinga,BAHIA,Jeremoabo,26/01/2023,28/10/2023
Caatinga,BAHIA,Riacho de Santana,27/02/2022,01/04/2023
Caatinga,BAHIA,Jeremoabo,14/04/2023,20/01/2024
Caatinga,BAHIA,Mundo Novo,19/04/2023,08/01/2024
Caatinga,BAHIA,Cordeiros,05/08/2023,13/01/2024
Caatinga,BAHIA,Caldeirão Grande,06/01/2023,14/01/2024
Caatinga,BAHIA,Jeremoabo,13/05/2023,29/01/2024
Caatinga,BAHIA,Rafael Jambeiro,04/02/2023,01/01/2024
Caatinga,BAHIA,Itaeté,25/07/2023,09/01/2024
Caatinga,BAHIA,Piatã,01/10/2023,11/12/2023
Caatinga,BAHIA,Morro do Chapéu,03/10/2023,27/12/2023
Caatinga,BAHIA,Mirangaba,28/03/2023,13/01/2024
Caatinga,BAHIA,Angical,07/06/2023,26/11/2023
Caatinga,BAHIA,Irará,17/04/2023,30/01/2024
Caatinga,BAHIA,Itatim,30/06/2023,17/02/2024
Caatinga,BAHIA,Mundo Novo,19/04/2023,31/01/2024
Caatinga,BAHIA,Feira de Santana,19/08/2023,31/01/2024
Caatinga,BAHIA,Ribeira do Pombal,06/01/2023,31/01/2024
Caatinga,BAHIA,Monte Santo,09/02/2023,31/01/2024
Caatinga,BAHIA,Ribeira do Pombal,06/03/2023,08/01/2024
Caatinga,BAHIA,Iaçu,23/02/2023,28/02/2024
Caatinga,BAHIA,Riacho de Santana,05/05/2023,09/03/2024
Caatinga,BAHIA,Barra da Estiva,24/01/2023,15/01/2024
Caatinga,BAHIA,Paratinga,24/02/2023,16/05/2024
Caatinga,BAHIA,Licínio de Almeida,16/04/2023,20/01/2024
Caatinga,BAHIA,Ruy Barbosa,26/09/2023,16/03/2024
Caatinga,BAHIA,Cotegipe,10/07/2023,15/09/2023
Caatinga,BAHIA,Riacho de Santana,10/06/2023,04/02/2024
Caatinga,BAHIA,Jacaraci,20/05/2023,31/01/2024
Caatinga,BAHIA,Piatã,16/04/2023,17/07/2023
Caatinga,BAHIA,Rafael Jambeiro,11/01/2023,12/01/2024
Caatinga,BAHIA,Várzea Nova,14/07/2023,31/01/2024
Caatinga,BAHIA,Bom Jesus da Lapa,02/04/2023,09/01/2024
Cerrado,BAHIA,Santa Rita de Cássia,10/08/2023,28/05/2024
Caatinga,BAHIA,João Dourado,10/01/2024,29/02/2024
Caatinga,BAHIA,Paratinga,31/01/2023,15/01/2024
Caatinga,BAHIA,Brejolândia,01/06/2023,31/07/2023
Caatinga,BAHIA,Monte Santo,25/08/2023,15/02/2024
Caatinga,BAHIA,Condeúba,14/09/2023,15/01/2024
Caatinga,BAHIA,Cícero Dantas,26/01/2023,21/04/2023
Caatinga,BAHIA,Irará,23/01/2023,30/01/2024
Caatinga,BAHIA,Euclides da Cunha,13/05/2023,31/01/2024
Caatinga,BAHIA,Monte Santo,15/07/2023,28/12/2023
Caatinga,BAHIA,Jeremoabo,26/01/2023,31/01/2024
Caatinga,BAHIA,Filadélfia,14/07/2023,16/02/2024
Caatinga,BAHIA,Barra da Estiva,05/12/2023,17/03/2024
Caatinga,BAHIA,Santa Terezinha,25/07/2023,06/02/2024
Caatinga,BAHIA,Monte Santo,13/08/2023,31/01/2024
Caatinga,BAHIA,Aporá,15/07/2023,17/02/2024
Caatinga,BAHIA,Monte Santo,13/05/2023,31/01/2024
Caatinga,BAHIA,Monte Santo,11/07/2023,31/01/2024
Caatinga,BAHIA,Itaberaba,31/05/2023,16/03/2024
Caatinga,BAHIA,Jacobina,26/01/2023,31/01/2024
Caatinga,BAHIA,Valente,21/04/2023,31/01/2024
Caatinga,BAHIA,Morro do Chapéu,16/04/2023,27/10/2023
Caatinga,BAHIA,Ibotirama,27/07/2023,12/01/2024
Caatinga,BAHIA,Cotegipe,27/04/2023,28/11/2023
Caatinga,BAHIA,Miguel Calmon,13/09/2023,31/01/2024
Caatinga,BAHIA,Cipó,26/08/2023,26/03/2024
Caatinga,BAHIA,Senhor do Bonfim,30/06/2023,13/01/2024
