nquest,idade1,faixa etária,sexo,cor,REGIAO,RCLASSE2,estcivil,renda,escola,nfilhos,p52aa,p55,p56,p66,p67a,p68,p27,p28,rendacat,escolacat,p64b,p64g,p64h,perfil
192956123,54,45-59,Feminino,Preta,Nordeste,D/E,Viuvo(a),"Até R$ 1.320,00",Fundamental II completo,2,0,Nao,0,Não usou em 2023,0,0,55,Ja comecou uma reserva para a aposentadoria,9,3,5,5,5,investidor
192957178,67,60+,Feminino,Branca,Nordeste,D/E,Viuvo(a),"De R$ 1.321,00 Até R$ 2.640,00",Analfabeto/ Fundamental I incompleto,2,0,Nao,0,Não sabe,0,0,0,0,1,1,5,5,1,investidor
192958083,44,35-44,Feminino,Preta,Nordeste,C2,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Ensino Médio completo,4,0,0,0,Não usou em 2023,0,0,45,Ja comecou uma reserva para a aposentadoria,9,5,5,1,1,investidor
192958117,35,35-44,Feminino,Parda,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,4,Portal / site,0,0,Não usou em 2023,0,0,60,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,2,5,5,1,investidor
192958632,69,60+,Feminino,Parda,Nordeste,C2,Separado/Divorciado,Recusa,Ensino Médio completo,1,Nenhum,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,0,0,97,5,1,1,1,investidor
192959345,55,45-59,Masculino,Parda,Nordeste,C1,Solteiro (a),"De R$ 13.201,00 Até R$ 26.400,00",Superior completo,1,Youtube,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,0,0,5,7,2,1,1,investidor
192959667,36,35-44,Feminino,Parda,Nordeste,D/E,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Ensino Médio incompleto,1,Telegram,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,62,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,4,5,1,1,investidor
192959738,18,16-24,Masculino,Outras,Nordeste,B2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio incompleto,0,Instagram,0,0,Raramente,e. Chance de ganhar uma grande quantia de dinheiro,Uma forma de investir seu dinheiro pensando em montar uma reserva para o futuro,Não sabe,Ja comecou uma reserva para a aposentadoria,9,4,5,2,5,investidor
192960006,64,60+,Masculino,Branca,Nordeste,C2,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,2,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,64,Não comecou uma reserva para a aposentadoria e Não pretende comecar,9,2,4,1,1,investidor
192960180,53,45-59,Feminino,Parda,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Fundamental II completo,3,0,Nao,0,Não usou em 2023,0,0,65,Ja comecou uma reserva para a aposentadoria,9,3,5,5,1,investidor
192960282,70,60+,Masculino,Outras,Nordeste,C2,Viuvo(a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,3,0,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,0,0,1,5,5,1,5,investidor
192960438,21,16-24,Masculino,Preta,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Ensino Médio incompleto,0,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,60,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,4,5,2,1,investidor
192960836,65,60+,Feminino,Parda,Nordeste,C2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,0,0,9,5,4,1,1,investidor
192960942,45,45-59,Masculino,Outras,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,1,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,65,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,2,2,1,1,investidor
192960971,28,25-34,Masculino,Parda,Nordeste,B2,Casado(a)/com companheiro(a),"De R$ 3.961,00 Até R$ 6.600,00",Superior completo,1,Youtube,0,0,Raramente,h. Considerar uma forma de investir,0,50,Ja comecou uma reserva para a aposentadoria,3,7,5,1,1,investidor
192961023,29,25-34,Feminino,Preta,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,1,Televisao,0,0,Raramente,d. Chance de ganhar um dinheiro rápido em momentos de necessidade,Uma forma de se divertir e eventualmente ganhar um dinheiro extra?,57,Não comecou uma reserva para a aposentadoria e Não pretende comecar,9,5,5,1,1,investidor
192961082,26,25-34,Masculino,Parda,Nordeste,C2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,1,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,65,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,5,5,4,4,investidor
