_id,Protocolo,data,hora,natureza,situacao,bairro,endereco,detalhe_endereco_acidente,complemento,bairro_cruzamento,sentido_via,tipo,auto,moto,ciclista,pedestre,onibus,caminhao,viatura,vitimas,vitimasfatais
1,202300005,2023-01-01 0:00:00,3:37:00,COM VÍTIMA,FINALIZADA,MADALENA,AV ENGENHEIRO ABDIAS DE CARVALHO,,E/F AO POSTO BR - ANTES DA FIR - SENTIDO SUB/CID,MADALENA,CIDADE,ATROPELAMENTO DE PESSOA,1,0,0,1,0,0,0,1,0
2,202300009,2023-01-01 0:00:00,8:28:00,COM VÍTIMA,FINALIZADA,BONGI,AV ENGENHEIRO ABDIAS DE CARVALHO,RUA CARLOS GOMES,EM FRENTE AO POSTO DE GASOLINA DISLUB,BONGI,SUBURBIO,COLISÃO LATERAL,0,2,0,0,0,0,0,2,0
3,202300019,2023-01-01 0:00:00,10:39:00,COM VÍTIMA,FINALIZADA,JAQUEIRA,RUA MUNIZ TAVARES,AV RUI BARBOSA,DE ESQUINA COM O HOSPITAL MARIA LUCINDA,JAQUEIRA,CIDADE,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
4,202300022,2023-01-01 0:00:00,12:41:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,AV BOA VIAGEM,,PROX AO SEMAFORO 152 E PROX AO CASTELINHO,BOA VIAGEM,,COLISÃO TRASEIRA,2,0,0,0,0,0,0,0,0
5,202300037,2023-01-01 0:00:00,3:44:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,,PROX A  PRAÇA CIDADE DO PORTO,BOA VIAGEM,,ATROPELAMENTO DE PESSOA,1,0,0,1,0,0,0,1,0
6,202300042,2023-01-01 0:00:00,4:35:00,COM VÍTIMA,FINALIZADA,SAN MARTIN,AV GENERAL SAN MARTIN,AV CONSUL VILARES FRAGOSO,DE FRENTE A CAVALARIA,SAN MARTIN,,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0
7,202300043,2023-01-01 0:00:00,5:34:00,SEM VÍTIMA,FINALIZADA,PINA,AVENIDA CELSO FURTADO (VIA MANGUE),RUA TOME GIBSON,CANTEIRO CENTRAL DA VIA MANGUE,PINA,CIDADE,CHOQUE,1,0,0,0,0,0,0,0,0
8,202300051,2023-01-01 0:00:00,8:07:00,SEM VÍTIMA,FINALIZADA,IPUTINGA,RUA SAO MATEUS,RUA ANTONIO CARLOS RIBEIRO DE ANDRADE,,IPUTINGA,,COLISÃO FRONTAL,2,0,0,0,0,0,0,0,0
9,202300113,2023-01-02 0:00:00,5:34:00,COM VÍTIMA,FINALIZADA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,RUA CORONEL FABRICIANO,AO LADO DO ATACADÃO,IMBIRIBEIRA,CIDADE,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
10,202300114,2023-01-02 0:00:00,6:04:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,AV ARMINDO MOURA,,VILA MILITAR,BOA VIAGEM,SUBURBIO,COLISÃO LATERAL,0,1,0,0,0,0,0,2,0
11,202300135,2023-01-03 0:00:00,8:06:00,SEM VÍTIMA,FINALIZADA,DERBY,RUA JENER DE SOUZA,,LADO OPOSTO AO MEMORIAL DE MEDICINA,DERBY,,CHOQUE,1,0,0,0,0,0,0,0,0
12,202300139,2023-01-03 0:00:00,8:55:00,COM VÍTIMA,FINALIZADA,AFOGADOS,RUA SAO MIGUEL,,"APOS O BANCO DO BRASIL, AO LADO DOS CORREIOS",AFOGADOS,SUBURBIO,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
13,202300141,2023-01-03 0:00:00,9:29:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA SETUBAL,RUA VERDES MARES,PROX. AO PET DREAM RESORT,BOA VIAGEM,,COLISÃO FRONTAL,2,0,0,0,0,0,0,1,0
14,202300160,2023-01-03 0:00:00,1:36:00,COM VÍTIMA,FINALIZADA,IPSEP,AV RECIFE,RUA SAO NICOLAU,,IPSEP,SUBURBIO,COLISÃO LATERAL,1,1,0,0,0,0,0,2,0
15,202300162,2023-01-03 0:00:00,2:16:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,AV CONSELHEIRO AGUIAR,RUA PROFESSOR JOSE BRANDAO,NA FRENTE DA EXTRA FARMA,BOA VIAGEM,CIDADE,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0
