,Ordem segundo o IDH,Bairro ou grupo de bairros,Esperança de vida ao nascer (em anos),Taxa de alfabetização de adultos (%),Taxa bruta de frequência escolar (%),Renda per capita (em R$ de 2000),Índice de Longevidade (IDH-L),Índice de Educação (IDH-E),Índice de Renda (IDH-R),Índice de Desenvolvimento Humano Municipal (IDH),Ano,Região
0,1,Gávea,75.11,97.25,100.64,1796.1,0.835,0.982,1.0,0.939,1991,Zona Sul
1,2,Jardim Botânico,73.67,97.81,95.24,1620.82,0.811,0.97,1.0,0.927,1991,Zona Sul
2,3,Ipanema,74.0,96.98,93.95,1606.88,0.817,0.96,1.0,0.925,1991,Zona Sul
3,4,Leblon,73.67,97.49,92.23,1589.11,0.811,0.957,1.0,0.923,1991,Zona Sul
4,5,Humaitá,72.8,97.93,102.67,1422.01,0.797,0.986,0.985,0.923,1991,Zona Sul
5,6,Flamengo,72.94,98.25,103.5,1297.93,0.799,0.988,0.969,0.919,1991,Zona Sul
6,7,Laranjeiras,73.67,98.01,101.66,1212.77,0.811,0.987,0.958,0.919,1991,Zona Sul
7,8,Joá. Barra da Tijuca,72.9,96.86,91.83,1782.9,0.798,0.952,1.0,0.917,1991,Zona Oeste
8,9,Lagoa,72.94,97.24,89.04,2277.53,0.799,0.945,1.0,0.915,1991,Zona Sul
9,10,Botafogo. Urca,74.09,96.82,95.29,1129.88,0.818,0.963,0.946,0.909,1991,Zona Sul
10,11,Jardim Guanabara,75.39,97.89,95.98,909.0,0.84,0.973,0.91,0.907,1991,Ilha do Governador
11,12,Leme,72.59,97.16,89.66,1307.33,0.793,0.947,0.971,0.903,1991,Zona Sul
12,13,Copacabana,72.38,97.56,91.05,1250.6,0.79,0.954,0.963,0.902,1991,Zona Sul
13,14,Maracanã,74.17,97.94,100.26,843.6,0.82,0.986,0.897,0.901,1991,Zona Norte
14,15,Méier,73.67,98.2,100.03,658.31,0.811,0.988,0.856,0.885,1991,Zona Norte
15,16,Glória,72.23,98.02,88.74,918.9,0.787,0.949,0.912,0.883,1991,Zona Sul
16,17,Grajaú,71.76,96.89,97.57,787.77,0.779,0.971,0.886,0.879,1991,Zona Norte
17,18,Tijuca. Alto da Boa Vista,70.58,96.48,95.74,838.29,0.76,0.962,0.896,0.873,1991,Zona Norte
18,19,Todos os Santos,72.92,98.09,95.72,574.31,0.799,0.973,0.833,0.868,1991,Zona Norte
19,20,Andaraí,71.76,96.55,89.33,644.69,0.779,0.941,0.853,0.858,1991,Zona Norte
20,21,Vila da Penha,72.12,98.03,94.24,491.56,0.785,0.968,0.807,0.853,1991,Zona Norte
21,22,Catete,71.76,95.01,85.47,639.09,0.779,0.918,0.851,0.85,1991,Zona Sul
22,23,Riachuelo,71.09,97.18,91.28,536.54,0.768,0.952,0.822,0.847,1991,Zona Norte
23,24,Moneró. Portuguesa,70.72,96.93,89.96,556.69,0.762,0.946,0.828,0.845,1991,Ilha do Governador
24,25,Cachambi,70.24,97.43,95.48,497.91,0.754,0.968,0.809,0.844,1991,Zona Norte
25,26,Freguesia (Jacarepaguá),70.62,96.08,87.76,584.57,0.76,0.933,0.836,0.843,1991,Zona Oeste
26,27,Pechincha,70.47,97.12,87.99,554.56,0.758,0.941,0.827,0.842,1991,Zona Oeste
27,28,Vidigal. São Conrado,67.38,91.62,74.09,1198.69,0.706,0.858,0.956,0.84,1991,Zona Sul
28,29,Vila Isabel,67.63,96.06,90.79,680.96,0.71,0.943,0.862,0.838,1991,Zona Norte
29,30,Campinho. Vila Valqueire,71.76,96.57,87.95,435.78,0.779,0.937,0.787,0.835,1991,Zona Norte
30,31,Anil,71.41,95.07,82.06,523.94,0.773,0.907,0.818,0.833,1991,Zona Oeste
31,32,Centro,70.47,96.13,80.03,495.18,0.758,0.908,0.809,0.825,1991,Centro
32,33,Higienópolis,69.02,96.98,89.12,400.62,0.734,0.944,0.773,0.817,1991,Zona Norte
33,34,Bonsucesso,70.62,93.37,82.81,446.47,0.76,0.898,0.791,0.817,1991,Zona Norte
34,35,Água Santa. Encantado,72.94,94.4,77.02,374.68,0.799,0.886,0.762,0.816,1991,Zona Norte
35,36,Vila Cosmos,72.59,97.12,79.28,312.31,0.793,0.912,0.732,0.812,1991,Zona Norte
36,37,Abolição,67.22,96.85,88.21,449.7,0.704,0.94,0.792,0.812,1991,Zona Norte
37,38,Cocotá. Bancários,69.51,94.64,85.94,407.38,0.742,0.917,0.776,0.812,1991,Ilha do Governador
