_id,data,hora,natureza_acidente,situacao,bairro,endereco,complemento,bairro_cruzamento,tipo_acidente,carro,moto,ciclista,pedestre,onibus,caminhao,viatura,vitimas_não_fatais,vitimas_fatais,Mes
1,2023-01-01,03:37:00,COM VÍTIMA,FINALIZADA,MADALENA,MADALENA,E/F AO POSTO BR - ANTES DA FIR - SENTIDO SUB/CID,MADALENA,ATROPELAMENTO DE PESSOA,1,0,0,1,0,0,0,1,0,1
2,2023-01-01,08:28:00,COM VÍTIMA,FINALIZADA,BONGI,BONGI,EM FRENTE AO POSTO DE GASOLINA DISLUB,BONGI,COLISÃO LATERAL,0,2,0,0,0,0,0,2,0,1
3,2023-01-01,10:39:00,COM VÍTIMA,FINALIZADA,JAQUEIRA,JAQUEIRA,DE ESQUINA COM O HOSPITAL MARIA LUCINDA,JAQUEIRA,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0,1
4,2023-01-01,12:41:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,BOA VIAGEM,PROX AO SEMAFORO 152 E PROX AO CASTELINHO,BOA VIAGEM,COLISÃO TRASEIRA,2,0,0,0,0,0,0,0,0,1
5,2023-01-01,03:44:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,BOA VIAGEM,PROX A  PRAÇA CIDADE DO PORTO,BOA VIAGEM,ATROPELAMENTO DE PESSOA,1,0,0,1,0,0,0,1,0,1
6,2023-01-01,04:35:00,COM VÍTIMA,FINALIZADA,SAN MARTIN,SAN MARTIN,DE FRENTE A CAVALARIA,SAN MARTIN,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0,1
7,2023-01-01,05:34:00,SEM VÍTIMA,FINALIZADA,PINA,PINA,CANTEIRO CENTRAL DA VIA MANGUE,PINA,CHOQUE,1,0,0,0,0,0,0,0,0,1
8,2023-01-01,08:07:00,SEM VÍTIMA,FINALIZADA,IPUTINGA,IPUTINGA,Não informado,IPUTINGA,COLISÃO FRONTAL,2,0,0,0,0,0,0,0,0,1
9,2023-01-02,05:34:00,COM VÍTIMA,FINALIZADA,IMBIRIBEIRA,IMBIRIBEIRA,AO LADO DO ATACADÃO,IMBIRIBEIRA,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0,1
10,2023-01-02,06:04:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,BOA VIAGEM,VILA MILITAR,BOA VIAGEM,COLISÃO LATERAL,0,1,0,0,0,0,0,2,0,1
11,2023-01-03,08:06:00,SEM VÍTIMA,FINALIZADA,DERBY,DERBY,LADO OPOSTO AO MEMORIAL DE MEDICINA,DERBY,CHOQUE,1,0,0,0,0,0,0,0,0,1
12,2023-01-03,08:55:00,COM VÍTIMA,FINALIZADA,AFOGADOS,AFOGADOS,"APOS O BANCO DO BRASIL, AO LADO DOS CORREIOS",AFOGADOS,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0,1
13,2023-01-03,09:29:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,BOA VIAGEM,PROX. AO PET DREAM RESORT,BOA VIAGEM,COLISÃO FRONTAL,2,0,0,0,0,0,0,1,0,1
14,2023-01-03,01:36:00,COM VÍTIMA,FINALIZADA,IPSEP,IPSEP,Não informado,IPSEP,COLISÃO LATERAL,1,1,0,0,0,0,0,2,0,1
15,2023-01-03,02:16:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,BOA VIAGEM,NA FRENTE DA EXTRA FARMA,BOA VIAGEM,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0,1
16,2023-01-03,04:10:00,SEM VÍTIMA,FINALIZADA,Não informado,Não informado,Não informado,Não informado,COLISÃO TRANSVERSAL,1,0,0,0,0,0,0,0,0,1
17,2023-01-03,05:39:00,COM VÍTIMA,FINALIZADA,ESTÂNCIA,ESTÂNCIA,PROX AO ARMAZÉM CORAL  S/T BR,ESTÂNCIA,COLISÃO COM CICLISTA,0,1,1,0,0,0,0,1,0,1
18,2023-01-03,07:29:00,SEM VÍTIMA,FINALIZADA,IMBIRIBEIRA,IMBIRIBEIRA,EM FRENTE AO AEROPORTO,IMBIRIBEIRA,COLISÃO FRONTAL,0,0,0,0,1,1,0,0,0,1
19,2023-01-03,10:20:00,COM VÍTIMA,FINALIZADA,SÃO JOSÉ,SÃO JOSÉ,Não informado,SÃO JOSÉ,COLISÃO FRONTAL,2,0,0,0,0,0,0,2,0,1
20,2023-01-03,11:01:00,SEM VÍTIMA,FINALIZADA,IBURA,IBURA,POSTO DE SAUDE DO UR2,IBURA,COLISÃO TRANSVERSAL,3,0,0,0,0,0,0,0,0,1
21,2023-01-04,06:12:00,SEM VÍTIMA,CANCELADA,TEJIPIÓ,TEJIPIÓ,PROX. AO ARMAZEM CORAL,TEJIPIÓ,COLISÃO TRASEIRA,1,0,0,0,0,1,0,0,0,1
22,2023-01-04,08:00:00,COM VÍTIMA,FINALIZADA,ESTÂNCIA,ESTÂNCIA,Não informado,ESTÂNCIA,COLISÃO FRONTAL,0,2,0,0,0,0,0,2,0,1
23,2023-01-04,08:54:00,COM VÍTIMA,FINALIZADA,VÁRZEA,VÁRZEA,PROX. AO RESIDENCIAL JARDIM CAXANGA,VÁRZEA,COLISÃO TRASEIRA,0,2,0,0,0,0,0,3,0,1
24,2023-01-04,09:46:00,COM VÍTIMA,FINALIZADA,TORRE,TORRE,PRÓX. À PRAÇA PROFESSOR CAMPELO,TORRE,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0,1
25,2023-01-04,01:54:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,BOA VIAGEM,AÇAI ATACADISTA,BOA VIAGEM,QUEDA,0,1,0,0,0,0,0,1,0,1
26,2023-01-04,02:13:00,COM VÍTIMA,FINALIZADA,JOANA BEZERRA,JOANA BEZERRA,NO VIADUTO MESMO,JOANA BEZERRA,COLISÃO TRASEIRA,1,1,0,0,0,0,0,1,0,1
27,2023-01-05,06:55:00,COM VÍTIMA,FINALIZADA,SANTO AMARO,SANTO AMARO,AO LADO DO NÚMERO 2778,SANTO AMARO,COLISÃO TRASEIRA,0,2,0,0,0,0,0,2,0,1
28,2023-01-05,07:44:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,BOA VIAGEM,PROX A PRIMEIRA LOMBADA ELETRONICA SENTIDO CIDADE,BOA VIAGEM,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0,1
29,2023-01-05,01:11:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,BOA VIAGEM,PROX A PADARIA AUGUSTA,BOA VIAGEM,COLISÃO LATERAL,0,1,0,0,0,0,1,1,0,1
30,2023-01-05,04:15:00,COM VÍTIMA,FINALIZADA,IBURA,IBURA,NA FRENTE DA PADARIA ALIANÇA,IBURA,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0,1
