Data;Vencimento;Comanda;Categoria;Descrição;Realizado;Valor
29/12/2019;30/12/2019;6283;Pagamento;Crédito Visa Master 1x;Sim;R$ 120,00
;;;;;;
;;;;;;
27/12/2019;30/12/2019;6251;Pagamento;Boleto;Sim;R$ 125,00
27/12/2019;30/12/2019;6250;Pagamento;Boleto;Sim;R$ 124,99
02/12/2019;30/12/2019;5776;Pagamento;Voucher Peixe Groupon;Sim;R$ 35,94
;;;;;;
;;;;;;
02/12/2019;30/12/2019;5775;Pagamento;Voucher Peixe Groupon;Sim;R$ 29,94
;;;;;;
;;;;;;
02/12/2019;30/12/2019;5773;Pagamento;Voucher Peixe Groupon;Sim;R$ 59,94
;;;;;;
;;;;;;
;;;;;;
29/12/2019;29/12/2019;6281;Pagamento;Mercado Pago;Sim;R$ 179,99
29/12/2019;29/12/2019;6280;Pagamento;Dinheiro;Sim;R$ 400,00
28/12/2019;29/12/2019;6271;Pagamento;Crédito Visa Master 1x;Sim;R$ 89,90
;;;;;;
;;;;;;
26/12/2019;29/12/2019;6244;Pagamento;Boleto;Sim;R$ 179,99
;;;;;;
;;;;;;
;;;;;;
28/12/2019;28/12/2019;6274;Pagamento;Mercado Pago;Sim;R$ 149,99
28/12/2019;28/12/2019;6273;Pagamento;Mercado Pago;Sim;R$ 149,99
27/12/2019;28/12/2019;6263;Pagamento;Crédito Visa Master 2x - 2x antec.;Sim;R$ 115,00
;;;;;;
;;;;;;
27/12/2019;28/12/2019;6262;Pagamento;Crédito Visa Master 2x - 2x antec.;Sim;R$ 115,00
;;;;;;
;;;;;;
27/12/2019;28/12/2019;6255;Pagamento;Crédito Visa Master 3x - 3x antec.;Sim;R$ 165,00
;;;;;;
;;;;;;
27/12/2019;28/12/2019;6254;Pagamento;Crédito Visa Master 1x;Sim;R$ 80,00
;;;;;;
;;;;;;
27/12/2019;28/12/2019;6253;Pagamento;Crédito Visa Master 3x - 3x antec.;Sim;R$ 80,00
;;;;;;
;;;;;;
30/11/2019;28/12/2019;5698;Pagamento;Voucher Peixe Groupon;Sim;R$ 47,94
;;;;;;
;;;;;;
;;;;;;
